Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,1373.2,1379.7,1358.6,1371.55,664707
2019-01-02T00:00:00+0530,1367,1386.85,1361.6,1383.3,1233780
2019-01-03T00:00:00+0530,1381.8,1393.85,1378,1388.3,1636293
2019-01-04T00:00:00+0530,1388,1401.4,1381.4,1385.85,1202397
2019-01-07T00:00:00+0530,1386,1405.4,1383.75,1396,1074373
2019-01-08T00:00:00+0530,1401,1412.7,1395.5,1401.25,1232440
2019-01-09T00:00:00+0530,1402.5,1414,1397.15,1402,973687
2019-01-10T00:00:00+0530,1390,1400,1388.65,1396.35,1004783
2019-01-11T00:00:00+0530,1399.75,1406.2,1392.4,1403.65,473391
2019-01-14T00:00:00+0530,1404,1410.6,1385.45,1388.6,1360800
2019-01-15T00:00:00+0530,1388.6,1414.45,1388.6,1405.95,1355920
2019-01-16T00:00:00+0530,1410,1412.95,1387.7,1389.75,1189597
2019-01-17T00:00:00+0530,1390,1398.5,1383.8,1389.6,853829
2019-01-18T00:00:00+0530,1391,1404.75,1383,1400.45,1092189
2019-01-21T00:00:00+0530,1395.2,1424.8,1395.2,1422.1,2513582
2019-01-22T00:00:00+0530,1423.9,1432.05,1375.25,1406.95,5483768
2019-01-23T00:00:00+0530,1429,1429.45,1390,1396.55,2702265
2019-01-24T00:00:00+0530,1400,1413.5,1396.5,1401.85,1562800
2019-01-25T00:00:00+0530,1408.4,1413.7,1353.3,1372.15,1613548
2019-01-28T00:00:00+0530,1375,1391,1366.85,1379.5,1590764
2019-01-29T00:00:00+0530,1377,1400,1373.2,1393.3,1061762
2019-01-30T00:00:00+0530,1394,1416.8,1372.1,1390.4,1313152
2019-01-31T00:00:00+0530,1400,1415,1391.05,1412.6,1256050
2019-02-01T00:00:00+0530,1412.4,1469.65,1408.2,1457.2,2077539
2019-02-04T00:00:00+0530,1444,1452.8,1434,1446.35,735159
2019-02-05T00:00:00+0530,1444.95,1466.9,1443.1,1450.35,786962
2019-02-06T00:00:00+0530,1457.85,1476.2,1452.3,1469.4,1088914
2019-02-07T00:00:00+0530,1467.05,1476.8,1457,1472.45,697412
2019-02-08T00:00:00+0530,1468,1480,1445,1448.8,1018518
2019-02-11T00:00:00+0530,1447.9,1457.3,1427,1437.1,728051
2019-02-12T00:00:00+0530,1438.5,1456.9,1435.25,1452.1,947583
2019-02-13T00:00:00+0530,1451,1453.65,1417,1424.15,507194
2019-02-14T00:00:00+0530,1417.65,1423.15,1396.5,1399.2,915441
2019-02-15T00:00:00+0530,1400.8,1404.95,1372.1,1393.6,1113223
2019-02-18T00:00:00+0530,1401.7,1401.7,1345,1380.05,1460282
2019-02-19T00:00:00+0530,1372.05,1396.95,1371,1377.85,697530
2019-02-20T00:00:00+0530,1380,1398.8,1376,1396.9,843469
2019-02-21T00:00:00+0530,1399,1407.85,1390.3,1397.8,677142
2019-02-22T00:00:00+0530,1399,1407.75,1384.2,1397.8,801380
2019-02-25T00:00:00+0530,1399.95,1405.8,1391.35,1398.25,711217
2019-02-26T00:00:00+0530,1396.9,1407,1378.6,1402,1147218
2019-02-27T00:00:00+0530,1404,1430.85,1395,1405.7,1462017
2019-02-28T00:00:00+0530,1414.8,1415,1401.45,1405.2,1230935
2019-03-01T00:00:00+0530,1409,1417.95,1388.1,1392.35,783876
2019-03-05T00:00:00+0530,1393.5,1409.75,1382.7,1403.85,1214257
2019-03-06T00:00:00+0530,1408,1410,1386.55,1393.7,720335
2019-03-07T00:00:00+0530,1398.6,1405.5,1392,1395.45,746742
2019-03-08T00:00:00+0530,1393.75,1394.65,1380,1382.35,524331
2019-03-11T00:00:00+0530,1389.2,1423,1385,1419.8,1342007
2019-03-12T00:00:00+0530,1422,1445.35,1421.2,1428.1,1333909
2019-03-13T00:00:00+0530,1439.4,1439.4,1417,1428.3,708227
2019-03-14T00:00:00+0530,1437.6,1446.95,1420,1434.75,1113700
2019-03-15T00:00:00+0530,1434,1457,1428.65,1432.55,1667627
2019-03-18T00:00:00+0530,1446,1460.6,1436.6,1445.6,1148000
2019-03-19T00:00:00+0530,1442,1459.85,1440,1453.9,886660
2019-03-20T00:00:00+0530,1462,1466,1448.5,1456.15,764625
2019-03-22T00:00:00+0530,1459,1479.9,1452.6,1471.25,1380404
2019-03-25T00:00:00+0530,1465.1,1475.6,1451.5,1457.55,848078
2019-03-26T00:00:00+0530,1460.5,1492.25,1460.5,1485.05,1630147
2019-03-27T00:00:00+0530,1494,1496.95,1463.5,1472.05,1387002
2019-03-28T00:00:00+0530,1473.5,1508.95,1473.5,1497,1353947
2019-03-29T00:00:00+0530,1503.1,1508.65,1485,1492.7,1094790
2019-04-01T00:00:00+0530,1496.75,1504,1490,1492.75,707570
2019-04-02T00:00:00+0530,1493,1523.45,1484.55,1519.3,1326634
2019-04-03T00:00:00+0530,1521.25,1529.85,1493,1497.6,1606692
2019-04-04T00:00:00+0530,1504.8,1525,1503,1519,1409222
2019-04-05T00:00:00+0530,1520,1523.65,1503,1514.45,1129222
2019-04-08T00:00:00+0530,1514,1514,1486,1496.35,925518
2019-04-09T00:00:00+0530,1464.7,1474.9,1437.2,1444.85,2642226
2019-04-10T00:00:00+0530,1449.8,1451,1405.35,1409.85,2608319
2019-04-11T00:00:00+0530,1409.7,1431.95,1408,1423.15,1494450
2019-04-12T00:00:00+0530,1432.75,1444.8,1425.8,1438.65,1510649
2019-04-15T00:00:00+0530,1447.95,1451.45,1427,1431.55,791389
2019-04-16T00:00:00+0530,1442.75,1464.9,1440.25,1459,1463057
2019-04-18T00:00:00+0530,1464,1479.9,1460.3,1469.6,1425676
2019-04-22T00:00:00+0530,1459.95,1459.95,1435,1443.35,737603
2019-04-23T00:00:00+0530,1449,1454.9,1425.9,1431,601653
2019-04-24T00:00:00+0530,1436,1459.4,1431,1450.05,1154712
2019-04-25T00:00:00+0530,1450,1460,1438.1,1447.95,1161847
2019-04-26T00:00:00+0530,1450,1459.35,1436,1448.75,704193
2019-04-30T00:00:00+0530,1456,1477,1455.3,1463.15,1525776
2019-05-02T00:00:00+0530,1465,1472.9,1430.1,1436.6,774788
2019-05-03T00:00:00+0530,1443.8,1456,1432.2,1438.55,1020007
2019-05-06T00:00:00+0530,1434.95,1448.6,1408.55,1412.8,1161960
2019-05-07T00:00:00+0530,1426.8,1426.8,1376.35,1387.8,2863939
2019-05-08T00:00:00+0530,1382,1395,1362.6,1385.7,1414591
2019-05-09T00:00:00+0530,1384.95,1393.65,1346.55,1354.2,2628463
2019-05-10T00:00:00+0530,1314.1,1350,1314.1,1341.05,3476379
2019-05-13T00:00:00+0530,1341.05,1345.25,1323.65,1332.5,862130
2019-05-14T00:00:00+0530,1330,1334.75,1302.1,1320.25,2167873
2019-05-15T00:00:00+0530,1326,1329,1301.7,1305.95,996276
2019-05-16T00:00:00+0530,1312,1314,1295.85,1304.4,726485
2019-05-17T00:00:00+0530,1305,1330.75,1301,1320,860934
2019-05-20T00:00:00+0530,1340,1378.4,1335,1373.95,976630
2019-05-21T00:00:00+0530,1384,1384,1352.7,1357.75,1166297
2019-05-22T00:00:00+0530,1360.5,1373.75,1348.05,1368.45,840075
2019-05-23T00:00:00+0530,1389,1389,1357.7,1367.75,1527569
2019-05-24T00:00:00+0530,1392,1400.45,1376.15,1384.5,980933
2019-05-27T00:00:00+0530,1386.9,1390.7,1362.7,1366.85,782730
