Entry Date,Open price,High Price,Low Price
2019-01-01T00:00:00+0530,621.9,630.2,621.9
2019-01-02T00:00:00+0530,623,628.5,617.5
2019-01-03T00:00:00+0530,621.4,622,603.65
2019-01-04T00:00:00+0530,612,624.75,609.5
2019-01-07T00:00:00+0530,626,640.7,624.2
2019-01-08T00:00:00+0530,636,653.75,630.6
2019-01-09T00:00:00+0530,652.35,672.05,652.35
2019-01-10T00:00:00+0530,668.9,668.9,654.6
2019-01-11T00:00:00+0530,665,668.5,658.2
2019-01-14T00:00:00+0530,663,663,652.55
2019-01-15T00:00:00+0530,661.3,664.25,655.05
2019-01-16T00:00:00+0530,660.7,670.4,660.7
2019-01-17T00:00:00+0530,669.9,680,665.6
2019-01-18T00:00:00+0530,674.9,676.05,661.45
2019-01-21T00:00:00+0530,661.55,664.5,656.5
2019-01-22T00:00:00+0530,656.35,663.6,653.85
2019-01-23T00:00:00+0530,659.5,667,658.6
2019-01-24T00:00:00+0530,665,665.55,655
2019-01-25T00:00:00+0530,665.2,676.85,665.2
2019-01-28T00:00:00+0530,669,674.45,650.35
2019-01-29T00:00:00+0530,658.5,671,649.55
2019-01-30T00:00:00+0530,687.05,703.35,683.75
2019-01-31T00:00:00+0530,697.25,726.85,689.05
2019-02-01T00:00:00+0530,720.75,726.4,705.4
2019-02-04T00:00:00+0530,711.3,724.5,708
2019-02-05T00:00:00+0530,722,731.6,719.5
2019-02-06T00:00:00+0530,731.3,734.5,715.6
2019-02-07T00:00:00+0530,726.25,733.8,724
2019-02-08T00:00:00+0530,727,732.8,716.25
2019-02-11T00:00:00+0530,719.9,719.9,705.3
2019-02-12T00:00:00+0530,701,713.4,700
2019-02-13T00:00:00+0530,700,707.45,695.05
2019-02-14T00:00:00+0530,706,706.4,692.6
2019-02-15T00:00:00+0530,700,704,681.7
2019-02-18T00:00:00+0530,686,697.7,680.7
2019-02-19T00:00:00+0530,693.3,705.4,689.65
2019-02-20T00:00:00+0530,697.6,703,695.3
2019-02-21T00:00:00+0530,700.5,706.5,695.1
2019-02-22T00:00:00+0530,697.45,704.45,691.2
2019-02-25T00:00:00+0530,702.9,705.8,696.1
2019-02-26T00:00:00+0530,694,715.6,693.05
2019-02-27T00:00:00+0530,714.95,727.8,713.05
2019-02-28T00:00:00+0530,723.45,723.45,706.4
2019-03-01T00:00:00+0530,713.5,714.95,699.55
2019-03-05T00:00:00+0530,705.7,733.9,700.7
2019-03-06T00:00:00+0530,733.9,733.9,712.55
2019-03-07T00:00:00+0530,720.75,739.45,720.75
2019-03-08T00:00:00+0530,732,737.25,728.4
2019-03-11T00:00:00+0530,733.3,744.9,730.6
2019-03-12T00:00:00+0530,738.7,749,738.55
2019-03-13T00:00:00+0530,743.6,751,736.5
2019-03-14T00:00:00+0530,740,749.7,737.4
2019-03-15T00:00:00+0530,742.95,748.95,731.7
2019-03-18T00:00:00+0530,741,756,740.25
2019-03-19T00:00:00+0530,755,763,749.05
2019-03-20T00:00:00+0530,760.75,767,754.35
2019-03-22T00:00:00+0530,764.7,765.9,735.55
2019-03-25T00:00:00+0530,752.7,755,741.15
2019-03-26T00:00:00+0530,747.4,760.95,741.65
2019-03-27T00:00:00+0530,761.3,770,755.85
2019-03-28T00:00:00+0530,761.1,787.65,757.15
2019-03-29T00:00:00+0530,777,781.35,767.6
2019-04-01T00:00:00+0530,780.95,783,760.6
2019-04-02T00:00:00+0530,769.15,774.95,761
2019-04-03T00:00:00+0530,770,772.75,758.7
2019-04-04T00:00:00+0530,763,771.9,760
2019-04-05T00:00:00+0530,763.95,768.75,756.1
2019-04-08T00:00:00+0530,764.3,768,748.55
2019-04-09T00:00:00+0530,755,766,751
2019-04-10T00:00:00+0530,761.25,767.9,758
2019-04-11T00:00:00+0530,760.5,761.35,747
2019-04-12T00:00:00+0530,753.4,766.75,751.6
2019-04-15T00:00:00+0530,764,770.2,760
2019-04-16T00:00:00+0530,765.1,776,765.1
2019-04-18T00:00:00+0530,778.4,779,769
