Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,651.5,653,641.8,652.2,1418210
2019-01-02T00:00:00+0530,647.5,652.6,636,638.4,2212740
2019-01-03T00:00:00+0530,643.9,648,633.15,638.35,2158450
2019-01-04T00:00:00+0530,642,646,635.7,641.05,1563230
2019-01-07T00:00:00+0530,645.05,650,638.5,640.7,1032170
2019-01-08T00:00:00+0530,643,646,635.5,644.3,1112490
2019-01-09T00:00:00+0530,646,647.6,636.5,639.9,1597690
2019-01-10T00:00:00+0530,642.5,643,633.75,637.2,1647150
2019-01-11T00:00:00+0530,635.5,639,629.1,637.15,1224320
2019-01-14T00:00:00+0530,638.9,638.9,626.5,636.9,1524090
2019-01-15T00:00:00+0530,638.5,652.4,638,650.95,1333360
2019-01-16T00:00:00+0530,650,653.5,644.05,646.5,1196800
2019-01-17T00:00:00+0530,646.6,648.5,633.6,635.9,1390430
2019-01-18T00:00:00+0530,636.6,638,623,625,1916260
2019-01-21T00:00:00+0530,625.4,640,621.1,638.45,1771760
2019-01-22T00:00:00+0530,637.7,644.7,635,643.55,1737750
2019-01-23T00:00:00+0530,643,652.8,640.5,649.3,1874450
2019-01-24T00:00:00+0530,651.5,651.75,638.2,640.75,1089930
2019-01-25T00:00:00+0530,648,648,628.7,632.15,925250
2019-01-28T00:00:00+0530,633.5,635.3,594.9,605.1,2992860
2019-01-29T00:00:00+0530,601.5,629.5,595.1,623.3,5789580
2019-01-30T00:00:00+0530,629.5,636.9,620.05,624.7,3387880
2019-01-31T00:00:00+0530,624.4,626.9,605,609.2,3776320
2019-02-01T00:00:00+0530,612.4,625,605.5,609.7,3119840
2019-02-04T00:00:00+0530,611.1,612.2,599.55,600.9,1281080
2019-02-05T00:00:00+0530,602,606.4,596.9,601.7,1753040
2019-02-06T00:00:00+0530,605.9,623.1,604.9,620.85,2289700
2019-02-07T00:00:00+0530,622,628.9,620,625.3,1348790
2019-02-08T00:00:00+0530,625.45,629.45,615.1,618.25,1384560
2019-02-11T00:00:00+0530,618.4,622.35,607.7,609.6,1135180
2019-02-12T00:00:00+0530,611.5,617.4,606.5,609.65,1488690
2019-02-13T00:00:00+0530,616.5,621.65,610,612.75,2624940
2019-02-14T00:00:00+0530,611.9,614.05,602.5,603.55,1983370
2019-02-15T00:00:00+0530,605,608,585.5,602.55,2778710
2019-02-18T00:00:00+0530,606.9,608.3,586.05,588.5,2452220
2019-02-19T00:00:00+0530,588.65,603,586.25,596.95,2130670
2019-02-20T00:00:00+0530,600.7,604.5,593.2,599.85,1617130
2019-02-21T00:00:00+0530,604,622,598.2,616.9,2301210
2019-02-22T00:00:00+0530,617,627.25,614.7,619.55,2110120
2019-02-25T00:00:00+0530,622,639.15,618,633.35,2321700
2019-02-26T00:00:00+0530,626.5,649.8,624.1,645.25,5645230
2019-02-27T00:00:00+0530,647.5,650.95,638,642,2985390
2019-02-28T00:00:00+0530,647.8,648,641.3,646.25,1589310
2019-03-01T00:00:00+0530,648,654,642.8,644.05,2220760
2019-03-05T00:00:00+0530,644,665,638.6,654.35,2297930
2019-03-06T00:00:00+0530,661,662.5,651.85,660.9,2369210
2019-03-07T00:00:00+0530,658,666.85,656.5,659.85,1990320
2019-03-08T00:00:00+0530,657,664,655,661.7,1448670
2019-03-11T00:00:00+0530,661.65,681.2,661.2,678.35,2684600
2019-03-12T00:00:00+0530,685.8,689.1,679.2,686.1,2623730
2019-03-13T00:00:00+0530,685,693.1,679.25,689.8,2212330
2019-03-14T00:00:00+0530,690,695.5,685.75,693.2,1812360
2019-03-15T00:00:00+0530,692,700.4,690,692.8,2194560
2019-03-18T00:00:00+0530,697,704.5,688,700.7,1713730
2019-03-19T00:00:00+0530,700,703.6,695,697.55,1608370
2019-03-20T00:00:00+0530,699,699.85,690.7,695.35,1195250
2019-03-22T00:00:00+0530,697,708,693.9,696,1556240
2019-03-25T00:00:00+0530,694.25,696.9,688.1,691.7,1382800
2019-03-26T00:00:00+0530,696.7,706,692,698.8,2215970
2019-03-27T00:00:00+0530,700,707.9,695.15,698.05,4448930
2019-03-28T00:00:00+0530,699.4,702.25,685.75,695.25,3282400
2019-03-29T00:00:00+0530,700.1,706,694.1,703.7,2117400
2019-04-01T00:00:00+0530,709,718,704,715.9,3114820
2019-04-02T00:00:00+0530,719.75,731.1,716,727.95,2646660
2019-04-03T00:00:00+0530,729.9,745,728.5,740.15,4267380
2019-04-04T00:00:00+0530,741.15,742.2,728.2,731.85,2021730
2019-04-05T00:00:00+0530,735,742.05,732.05,739.8,1701430
2019-04-08T00:00:00+0530,743.9,744,731,734.7,1659750
