Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,2645,2664,2612.1,2656.85,917872
2019-01-02T00:00:00+0530,2635.1,2662,2601.9,2614.05,1304915
2019-01-03T00:00:00+0530,2612,2648,2575.3,2586.2,1282478
2019-01-04T00:00:00+0530,2601,2611.9,2563.65,2576.05,1051021
2019-01-07T00:00:00+0530,2601,2605,2545.35,2553.6,1024328
2019-01-08T00:00:00+0530,2560,2582,2525.05,2537.05,1233379
2019-01-09T00:00:00+0530,2546,2559.8,2510,2524.35,1093992
2019-01-10T00:00:00+0530,2526,2542.45,2504.7,2514.65,910839
2019-01-11T00:00:00+0530,2516,2530,2488,2514.2,818218
2019-01-14T00:00:00+0530,2515.95,2552.9,2484.15,2544.8,1021504
2019-01-15T00:00:00+0530,2551,2613,2551,2604.2,1466303
2019-01-16T00:00:00+0530,2598.4,2612.15,2562.8,2569.85,952597
2019-01-17T00:00:00+0530,2574,2586.55,2527.05,2535.9,994183
2019-01-18T00:00:00+0530,2545,2555,2525.1,2542.9,753775
2019-01-21T00:00:00+0530,2548,2606,2526.6,2594.2,1332159
2019-01-22T00:00:00+0530,2585,2635,2575,2621.9,1474713
2019-01-23T00:00:00+0530,2619,2653,2611,2634.35,992504
2019-01-24T00:00:00+0530,2639,2653.5,2603.1,2635.65,753856
2019-01-25T00:00:00+0530,2649,2661,2585,2599.55,916927
2019-01-28T00:00:00+0530,2610,2610,2355,2458.5,2364047
2019-01-29T00:00:00+0530,2468,2570.1,2371.65,2515.55,6118833
2019-01-30T00:00:00+0530,2580,2623.7,2546,2595.5,3879707
2019-01-31T00:00:00+0530,2608,2608,2526,2574.85,2083418
2019-02-01T00:00:00+0530,2575,2687.9,2575,2628.4,2117768
2019-02-04T00:00:00+0530,2610,2623.55,2572.2,2594.45,942113
2019-02-05T00:00:00+0530,2600,2642.1,2593.95,2603.6,1010817
2019-02-06T00:00:00+0530,2619,2720,2612.1,2711.25,1798461
2019-02-07T00:00:00+0530,2725,2731,2684.1,2696.6,1760580
2019-02-08T00:00:00+0530,2670,2737.45,2670,2707.15,1510785
