Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,310.15,316.05,307.55,313.6,5616634
2019-01-02T00:00:00+0530,311.05,315.1,303.4,306.9,5710145
2019-01-03T00:00:00+0530,306.75,309.7,302.25,307.7,5721000
2019-01-04T00:00:00+0530,306.7,318.7,306.7,316.5,10431508
2019-01-07T00:00:00+0530,318.4,321.85,316.15,318.95,5060165
2019-01-08T00:00:00+0530,317.8,325.65,317.3,323.2,6606271
2019-01-09T00:00:00+0530,327.05,331.65,321.25,328.35,7362133
2019-01-10T00:00:00+0530,330.35,332.4,326.25,331.1,5277837
2019-01-11T00:00:00+0530,330.95,331.1,322.95,328.9,5437986
2019-01-14T00:00:00+0530,327.95,328.65,322.1,325.5,3374035
2019-01-15T00:00:00+0530,323.9,333.1,320.5,331.55,5239956
2019-01-16T00:00:00+0530,330.55,338.9,325.3,327.8,7074919
2019-01-17T00:00:00+0530,326.85,330.55,324.1,325.95,4195688
2019-01-18T00:00:00+0530,324.4,326.3,298.7,305.4,15021281
2019-01-21T00:00:00+0530,304.95,309.7,300.35,305.6,7915847
2019-01-22T00:00:00+0530,306.25,306.35,296,299.25,8053002
2019-01-23T00:00:00+0530,301.15,301.75,296.75,298.1,5158322
2019-01-24T00:00:00+0530,301.05,302.15,289.05,296.1,9539503
2019-01-25T00:00:00+0530,298.4,306.25,296.45,301.85,5545847
2019-01-28T00:00:00+0530,302.3,303.65,289.25,299.55,4174098
2019-01-29T00:00:00+0530,299.4,303.95,296.15,302.2,2947374
2019-01-30T00:00:00+0530,303.3,307.15,294.55,298.1,6017250
2019-01-31T00:00:00+0530,298.9,304.75,297.55,300.75,8716492
2019-02-01T00:00:00+0530,299.5,315,299.4,306.1,8487580
2019-02-04T00:00:00+0530,304.3,305,296.65,300.9,3577052
2019-02-05T00:00:00+0530,289.95,305.9,287.45,302.5,13477636
2019-02-06T00:00:00+0530,301.35,304.8,295.45,303.05,4776992
2019-02-07T00:00:00+0530,302.9,308.6,299.6,305.4,3537301
2019-02-08T00:00:00+0530,303.3,308.4,300.45,307.5,3134600
2019-02-11T00:00:00+0530,309.2,309.65,305.25,306.45,3033306
2019-02-12T00:00:00+0530,305.95,309.8,303.95,305.5,2043989
2019-02-13T00:00:00+0530,306.7,306.8,301.65,304.85,2237807
2019-02-14T00:00:00+0530,303.3,304.2,291.05,295.25,7871908
2019-02-15T00:00:00+0530,295.45,300.4,291.85,299,6177009
2019-02-18T00:00:00+0530,301.25,301.5,294.5,296.95,4076945
2019-02-19T00:00:00+0530,298.3,307.7,296,298.1,6972628
2019-02-20T00:00:00+0530,299.9,305.1,299.35,303.3,5708286
2019-02-21T00:00:00+0530,300.25,305.25,297.4,304.2,5330735
2019-02-22T00:00:00+0530,303.5,310.65,302.35,308.05,5692347
2019-02-25T00:00:00+0530,308.2,314.1,305.85,311.4,3814811
2019-02-26T00:00:00+0530,309.9,314.6,307.6,309.65,5107108
2019-02-27T00:00:00+0530,313.05,319.25,308.55,314.25,4156729
2019-02-28T00:00:00+0530,318.9,320.9,310.15,312.2,7058665
2019-03-01T00:00:00+0530,311.95,311.95,296.55,302,27157732
2019-03-05T00:00:00+0530,302.3,303.5,298,302.2,10464262
2019-03-06T00:00:00+0530,305.2,307.5,302.6,303.7,6513004
2019-03-07T00:00:00+0530,304.3,306.45,301.35,302,5937479
2019-03-08T00:00:00+0530,304.05,306.25,302,303,4078104
2019-03-11T00:00:00+0530,303.35,330.9,303,327.65,15663221
2019-03-12T00:00:00+0530,326.65,347.5,323.3,345.3,27609712
2019-03-13T00:00:00+0530,342.1,350,330.3,331.55,12848822
2019-03-14T00:00:00+0530,330.8,339.55,328.4,336.1,6364160
2019-03-15T00:00:00+0530,337.65,338.5,325.1,331.5,10592769
2019-03-18T00:00:00+0530,331.75,337.3,323.25,324.5,7138644
2019-03-19T00:00:00+0530,325.9,333.2,325.9,330.55,5178011
2019-03-20T00:00:00+0530,330.95,333.65,326.25,327.85,3038717
2019-03-22T00:00:00+0530,329.8,341,323.25,325.45,8368006
2019-03-25T00:00:00+0530,326.75,328.75,317.25,320.95,4823657
2019-03-26T00:00:00+0530,322.5,325.3,320.25,321.75,3899715
2019-03-27T00:00:00+0530,324.9,326.85,314.5,316.55,5464923
2019-03-28T00:00:00+0530,316.65,326.85,311.9,323.85,12502773
2019-03-29T00:00:00+0530,324.9,330.15,322.95,326.95,4543490
2019-04-01T00:00:00+0530,327.75,338.6,327.05,334.5,6501083
2019-04-02T00:00:00+0530,336.7,352.4,336.7,349.9,20430843
2019-04-03T00:00:00+0530,349.45,356.3,341.1,343.55,11248432
2019-04-04T00:00:00+0530,345.5,352.85,345.5,350.2,11172541
2019-04-05T00:00:00+0530,352,353.1,347.05,350.1,3423035
2019-04-08T00:00:00+0530,351.8,357.1,346.05,348.4,5193386
2019-04-09T00:00:00+0530,351.95,354.35,335.2,345.1,9249714
2019-04-10T00:00:00+0530,344.35,347.85,331.75,333.75,4369990
2019-04-11T00:00:00+0530,335.4,344.8,330.95,339.95,16701004
2019-04-12T00:00:00+0530,340.6,343.9,332.75,335.65,7666571
2019-04-15T00:00:00+0530,338.55,342.55,328.65,341.3,9374652
2019-04-16T00:00:00+0530,341.6,344.65,334.45,342.3,8740493
2019-04-18T00:00:00+0530,343.05,344,326.5,340.55,14818322
2019-04-22T00:00:00+0530,337.65,351.95,330.4,342.95,14084305
2019-04-23T00:00:00+0530,319,319.4,308.4,310.65,11627159
2019-04-24T00:00:00+0530,310.65,320.3,309.8,318.5,7161513
2019-04-25T00:00:00+0530,316.85,326.75,315.1,322.45,11517972
2019-04-26T00:00:00+0530,323.9,329.5,316.35,319.45,5000319
2019-04-30T00:00:00+0530,318.05,320.8,308.25,314.4,6139945
2019-05-02T00:00:00+0530,316.95,323.35,315.65,318.25,7925818
2019-05-03T00:00:00+0530,318.45,327.7,318.45,325.35,9901413
2019-05-06T00:00:00+0530,325.35,330.2,320.5,327.3,14870126
2019-05-07T00:00:00+0530,333.75,334.55,315.55,318.95,17735237
2019-05-08T00:00:00+0530,318.85,321.4,314.2,318.5,4864441
2019-05-09T00:00:00+0530,315.35,320.2,306.85,309.65,7998141
2019-05-10T00:00:00+0530,313,322.35,309.4,318.15,7855978
2019-05-13T00:00:00+0530,315.55,321.3,308.85,312.8,6620281
2019-05-14T00:00:00+0530,310.2,333.45,309.4,330.4,10954657
2019-05-15T00:00:00+0530,329.8,331.75,322.65,325.15,7782554
2019-05-16T00:00:00+0530,325.9,327.15,315.15,319.2,4591693
2019-05-17T00:00:00+0530,317.75,324.6,316.2,322.4,4117920
2019-05-20T00:00:00+0530,325.95,335.65,324.9,333.85,7858382
2019-05-21T00:00:00+0530,333.75,333.85,322.5,324.55,4316611
2019-05-22T00:00:00+0530,324.9,331.7,322.6,328.95,6791990
2019-05-23T00:00:00+0530,331.35,342.55,328.05,332.55,5449867
2019-05-24T00:00:00+0530,333.8,349.45,333.75,346.7,9756745
2019-05-27T00:00:00+0530,343.25,345.4,339.95,343.05,4004335
2019-05-28T00:00:00+0530,342.3,345.2,335.4,339.25,8643508
2019-05-29T00:00:00+0530,337.45,338.8,331.6,332.55,4581549
2019-05-30T00:00:00+0530,333.75,343.1,333.3,340.3,14152216
2019-05-31T00:00:00+0530,342.55,345.9,338.1,342.35,11028693
2019-06-03T00:00:00+0530,345,349.2,342.4,346.25,5214141
2019-06-04T00:00:00+0530,344.55,349.4,343.3,345.9,6749431
2019-06-06T00:00:00+0530,346.3,349.4,342.1,347.3,10510816
2019-06-07T00:00:00+0530,347.3,355.3,345.3,350.5,5879856
2019-06-10T00:00:00+0530,348.25,357.95,347.15,356.75,5992524
2019-06-11T00:00:00+0530,356.3,360.2,351.65,356.55,5668151
2019-06-12T00:00:00+0530,355.7,355.7,350.5,353.25,2868028
2019-06-13T00:00:00+0530,350.45,358.2,350.45,357.05,3839379
2019-06-14T00:00:00+0530,355.85,356.25,345.15,346.8,5170882
2019-06-17T00:00:00+0530,349.05,349.05,335.8,337.65,7087104
2019-06-18T00:00:00+0530,339.05,340.95,334.9,338.8,4977570
2019-06-19T00:00:00+0530,340.1,341.6,328.15,334.8,4008251
2019-06-20T00:00:00+0530,333,343.55,332.95,342.15,3563848
2019-06-21T00:00:00+0530,341.1,343.45,336.4,337.45,9764202
2019-06-24T00:00:00+0530,338.8,342.15,337.15,338.75,3310681
2019-06-25T00:00:00+0530,339.1,345.5,338.2,342.2,2848909
2019-06-26T00:00:00+0530,343.55,345.5,336.25,339.2,4732850
2019-06-27T00:00:00+0530,340.85,344.4,334.6,342.2,13137231
2019-06-28T00:00:00+0530,342,343.55,336.2,340.25,8737053
2019-07-01T00:00:00+0530,340.6,343.4,338.8,342.1,3469132
2019-07-02T00:00:00+0530,342.55,347.95,340.95,347.1,3816214
2019-07-03T00:00:00+0530,346.4,349.95,343.3,346.7,8473246
2019-07-04T00:00:00+0530,346.85,358.25,346.5,356.05,8565254
2019-07-05T00:00:00+0530,356.05,364.3,353.85,358.1,6878482
2019-07-08T00:00:00+0530,355.35,357.7,347.9,349.85,3543847
2019-07-09T00:00:00+0530,349.45,356.55,347.55,355.6,3931860
2019-07-10T00:00:00+0530,356.2,358.2,347.15,351.95,5299467
2019-07-11T00:00:00+0530,351.65,355.7,349.75,354.1,3513507
2019-07-12T00:00:00+0530,354.15,354.15,347.6,349.55,4750308
2019-07-15T00:00:00+0530,351,352.8,342.7,344.15,3524297
2019-07-16T00:00:00+0530,344.55,348.4,343.2,344.3,3651690
2019-07-17T00:00:00+0530,344.1,346.9,338.45,339.85,4765417
2019-07-18T00:00:00+0530,341.6,344.75,332.35,336.2,3711157
2019-07-19T00:00:00+0530,337.15,339.6,329.9,333.7,2517349
2019-07-22T00:00:00+0530,332.75,337.15,329.4,336.25,3120157
2019-07-23T00:00:00+0530,336.65,342.1,331.2,337.25,3682411
2019-07-24T00:00:00+0530,337.65,338.4,329.55,332.65,4840790
2019-07-25T00:00:00+0530,328.85,337.1,328.4,332.75,7600176
2019-07-26T00:00:00+0530,331.75,332.65,322.15,328.75,5089102
2019-07-29T00:00:00+0530,328.55,330.25,322.05,328.4,5072886
2019-07-30T00:00:00+0530,330.8,341.9,328.95,339.4,12960954
2019-07-31T00:00:00+0530,336.9,347.25,326.55,331.4,11065552
2019-08-01T00:00:00+0530,328.85,332.5,315.25,317.95,9957409
2019-08-02T00:00:00+0530,325.9,348.4,321.15,337.2,28586794
2019-08-05T00:00:00+0530,333.85,355,332.8,351.1,15513361
2019-08-06T00:00:00+0530,347.55,368.5,347.55,361.65,17339269
2019-08-07T00:00:00+0530,361.2,366.1,355.8,359.35,12759440
2019-08-08T00:00:00+0530,359.25,371.75,358.65,365.3,16351441
2019-08-09T00:00:00+0530,365.15,366.85,357.45,364.3,7844939
2019-08-13T00:00:00+0530,354.55,358.25,339.75,345.15,14292357
2019-08-14T00:00:00+0530,348.45,357.15,340.9,354.55,7813910
2019-08-16T00:00:00+0530,353.35,358.25,348.45,354.9,5827112
2019-08-19T00:00:00+0530,356.75,359.5,353.15,354.35,4606669
2019-08-20T00:00:00+0530,353.85,355.65,350.8,351.45,5364924
2019-08-21T00:00:00+0530,351.4,353.55,346.65,348.35,4122884
2019-08-22T00:00:00+0530,348.45,350.6,344.55,346.25,3171986
2019-08-23T00:00:00+0530,347.5,352.35,344.05,349.85,4676423
2019-08-26T00:00:00+0530,351.35,355.95,340.5,354,5024257
2019-08-27T00:00:00+0530,355.8,361.4,338.4,341.9,32805690
2019-08-28T00:00:00+0530,343.05,343.05,334.2,339.45,5628197
2019-08-29T00:00:00+0530,336.05,343.3,334.85,337.15,6040521
