Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,361.05,369.3,360,367.2,1552711
2019-01-02T00:00:00+0530,366,366,346.75,357.95,9862795
2019-01-03T00:00:00+0530,352,354.8,348.15,352.5,4986130
2019-01-04T00:00:00+0530,351.8,361.7,351.5,359.45,3858610
2019-01-07T00:00:00+0530,360,362.8,354,355.55,2895410
2019-01-08T00:00:00+0530,355.1,355.9,350.05,351.95,2171045
2019-01-09T00:00:00+0530,351,351.5,338,340.05,4565866
2019-01-10T00:00:00+0530,336.9,338.75,333,335.6,4886802
2019-01-11T00:00:00+0530,336,339.7,334.55,337.3,2334810
2019-01-14T00:00:00+0530,338.9,339.85,331.55,334.95,3758311
2019-01-15T00:00:00+0530,336.9,343.35,336.2,341.7,3456956
2019-01-16T00:00:00+0530,345.4,349,342.35,347.25,4781001
2019-01-17T00:00:00+0530,347.1,357,346.05,355.2,3949498
2019-01-18T00:00:00+0530,353.9,357.7,351.3,354.2,2504157
2019-01-21T00:00:00+0530,351.1,355.7,348.3,351.55,1942818
2019-01-22T00:00:00+0530,351.5,357.6,351.05,353.8,2343970
2019-01-23T00:00:00+0530,354.5,358.65,354.4,357.15,1986513
2019-01-24T00:00:00+0530,357.15,360.25,352.25,353.95,1647059
2019-01-25T00:00:00+0530,355,360.35,355,357.45,1934416
2019-01-28T00:00:00+0530,357,357.9,346.2,348.7,1451374
2019-01-29T00:00:00+0530,348.1,353.45,340.7,344.9,3099307
2019-01-30T00:00:00+0530,344.5,344.8,336.5,342.7,2782631
2019-01-31T00:00:00+0530,340.75,351,338.1,345.45,7819453
2019-02-01T00:00:00+0530,347.2,348.7,338.4,341,2722370
2019-02-04T00:00:00+0530,340,341.95,336.05,338.55,2154768
2019-02-05T00:00:00+0530,338.5,340.3,336.6,337.95,1292066
2019-02-06T00:00:00+0530,337.95,341.4,336.7,339.3,2095411
2019-02-07T00:00:00+0530,339.75,342.05,337.9,339.4,1524023
2019-02-08T00:00:00+0530,340.3,346.8,335.05,337.4,3341371
2019-02-11T00:00:00+0530,333,337.5,328,333.6,3314948
2019-02-12T00:00:00+0530,334,343.5,334,339.3,3040248
2019-02-13T00:00:00+0530,340,341.4,326.3,329.45,4859232
2019-02-14T00:00:00+0530,326.1,328.2,312.05,315.65,10644570
2019-02-15T00:00:00+0530,318,329,318,327.85,6707128
2019-02-18T00:00:00+0530,322.55,330.1,322.55,327.75,3952632
2019-02-19T00:00:00+0530,326,338.8,325.55,335.25,3833168
2019-02-20T00:00:00+0530,338,344.75,336.1,341.1,6282741
2019-02-21T00:00:00+0530,328,337.65,326.25,335.3,4676884
2019-02-22T00:00:00+0530,337,347,335.7,344.2,4854900
2019-02-25T00:00:00+0530,345,345.25,334.25,336.05,7015596
2019-02-26T00:00:00+0530,336.05,337.95,329.25,336.65,4529397
2019-02-27T00:00:00+0530,338,341.6,329.85,330.7,4500049
2019-02-28T00:00:00+0530,334,340,330,337.55,8969419
2019-03-01T00:00:00+0530,338.25,347.55,337.15,346.05,2872248
2019-03-05T00:00:00+0530,346.05,365.45,345.45,362.5,6380951
2019-03-06T00:00:00+0530,364.8,373.8,363.35,372.7,6098612
2019-03-07T00:00:00+0530,373.55,376.95,369,370.7,5694924
2019-03-08T00:00:00+0530,370.9,371.4,364.65,367.35,2812574
