Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,3120,3128.9,3080,3103.05,140863
2019-01-02T00:00:00+0530,3100,3131,3081.2,3116.85,152324
2019-01-03T00:00:00+0530,3116.85,3177,3097.4,3135.9,311498
2019-01-04T00:00:00+0530,3137.95,3159.2,3105.55,3122.7,170818
2019-01-07T00:00:00+0530,3137.1,3155,3125,3143.8,152966
2019-01-08T00:00:00+0530,3155,3155,3080,3089.55,217274
2019-01-09T00:00:00+0530,3114,3119.85,3081,3092.65,257227
2019-01-10T00:00:00+0530,3100,3100,3073,3088.95,229690
2019-01-11T00:00:00+0530,3090,3116.75,3079.6,3096.85,353709
2019-01-14T00:00:00+0530,3102,3124,3063,3113.65,154975
2019-01-15T00:00:00+0530,3120.15,3199.9,3095,3183.9,278642
2019-01-16T00:00:00+0530,3184,3204.9,3145,3175.75,182044
2019-01-17T00:00:00+0530,3181,3212,3175.05,3207.1,154540
2019-01-18T00:00:00+0530,3214.85,3217.35,3134.25,3171.35,161433
2019-01-21T00:00:00+0530,3170,3198.55,3136.5,3148.4,174710
2019-01-22T00:00:00+0530,3150,3174.95,3130.15,3153.65,156085
2019-01-23T00:00:00+0530,3177,3229,3161.05,3203.85,286992
2019-01-24T00:00:00+0530,3217,3225,3190.55,3216.85,148520
2019-01-25T00:00:00+0530,3221,3270,3193.05,3206.65,325166
2019-01-28T00:00:00+0530,3210.5,3222,3131,3203.45,216799
2019-01-29T00:00:00+0530,3197,3197,3152.5,3180.05,179979
2019-01-30T00:00:00+0530,3197,3222,3180.1,3208.8,116521
2019-01-31T00:00:00+0530,3231.95,3231.95,3189.2,3197.7,255273
2019-02-01T00:00:00+0530,3201,3286,3201,3251,387188
2019-02-04T00:00:00+0530,3251.35,3280.4,3228.2,3266,140277
2019-02-05T00:00:00+0530,3278,3316,3150.1,3167.05,503959
2019-02-06T00:00:00+0530,3188.5,3199.95,3105.05,3181.4,313476
2019-02-07T00:00:00+0530,3210,3230,3174.1,3214.1,374133
2019-02-08T00:00:00+0530,3138.5,3210,3095,3110,640983
2019-02-11T00:00:00+0530,3120,3132.3,3055.3,3107.55,265355
2019-02-12T00:00:00+0530,3105,3107,3001,3008.6,515301
2019-02-13T00:00:00+0530,3015,3034.8,2907,2923.4,504157
2019-02-14T00:00:00+0530,2915,2949,2900,2924.6,288540
2019-02-15T00:00:00+0530,2945,2945,2846,2858.35,374811
2019-02-18T00:00:00+0530,2860,2939,2759,2911.7,700981
2019-02-19T00:00:00+0530,2910.2,2975.95,2851,2873.55,484180
2019-02-20T00:00:00+0530,2884,2930,2884,2922.3,271061
2019-02-21T00:00:00+0530,2943.95,3018,2935,3001.6,724297
2019-02-22T00:00:00+0530,3008,3057.3,2972.7,3012.8,313430
2019-02-25T00:00:00+0530,3013.2,3077,2982,3048.2,336072
2019-02-26T00:00:00+0530,3056,3092.95,3018.25,3073.5,568492
2019-02-27T00:00:00+0530,3080,3108.95,3023.35,3058.6,393442
