Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,2316.2,2329.3,2290.5,2319.5,44434
2019-01-02T00:00:00+0530,2234,2234,2095,2116.25,481497
2019-01-03T00:00:00+0530,2104,2104,2015.1,2021.15,468301
2019-01-04T00:00:00+0530,2032.5,2064.8,2000.1,2010.35,341833
2019-01-07T00:00:00+0530,2045,2047.7,1975.5,1983.05,215668
2019-01-08T00:00:00+0530,1985.5,2063,1978.5,2004.45,366429
2019-01-09T00:00:00+0530,1989,2039.75,1985,2029.1,163752
2019-01-10T00:00:00+0530,2036,2060,2034.5,2055.6,102143
2019-01-11T00:00:00+0530,2060,2076.75,2038.7,2050.75,112220
2019-01-14T00:00:00+0530,2062.8,2062.9,2022.2,2048.05,70121
2019-01-15T00:00:00+0530,2054,2067,2048,2063.8,63319
2019-01-16T00:00:00+0530,2062.6,2078.4,2062.6,2073.55,67468
2019-01-17T00:00:00+0530,2080,2084.75,2016.05,2037,103777
2019-01-18T00:00:00+0530,2040,2042.5,1995,2012.25,108140
2019-01-21T00:00:00+0530,2015.1,2029.8,1994.95,2002.8,95038
2019-01-22T00:00:00+0530,2000.1,2035,1990,2002.35,137830
2019-01-23T00:00:00+0530,2007.7,2022.3,1999.1,2008.9,53595
2019-01-24T00:00:00+0530,2015,2033,2007.5,2011.55,45723
2019-01-25T00:00:00+0530,2020,2033.75,1983.5,2005,67189
2019-01-28T00:00:00+0530,2006.1,2024.1,1987.15,1998.75,101907
2019-01-29T00:00:00+0530,1999.9,2000,1880,1887.7,193198
2019-01-30T00:00:00+0530,1890,1909.5,1880,1891.9,102632
2019-01-31T00:00:00+0530,1912,1917.9,1883.6,1900.55,67511
2019-02-01T00:00:00+0530,1909,2014.45,1907.6,1966.35,185717
2019-02-04T00:00:00+0530,1972,2043.2,1943.5,2012.85,162129
2019-02-05T00:00:00+0530,2016.1,2058.5,2016,2047.95,101870
2019-02-06T00:00:00+0530,2052.95,2120,2052.95,2110.4,129716
2019-02-07T00:00:00+0530,2123.5,2196.5,2115.05,2190.4,135294
2019-02-08T00:00:00+0530,2185.5,2190.4,2075,2084.75,123403
2019-02-11T00:00:00+0530,2043.4,2145.95,2033.1,2075.3,261982
2019-02-12T00:00:00+0530,2047,2130,2007,2113.75,259036
2019-02-13T00:00:00+0530,2125,2135,2000.1,2015.85,150490
2019-02-14T00:00:00+0530,2016,2058.8,1990,2001.65,140341
2019-02-15T00:00:00+0530,2014.75,2037.7,1993.2,2023.4,123595
2019-02-18T00:00:00+0530,2043.3,2045,2004.75,2015.5,85097
2019-02-19T00:00:00+0530,2020,2046.45,2012.1,2041,65474
2019-02-20T00:00:00+0530,2041.5,2065,2038,2052.85,69858
2019-02-21T00:00:00+0530,2045,2063.45,2025,2044.75,67021
2019-02-22T00:00:00+0530,2057.7,2070,2030,2059.55,74001
2019-02-25T00:00:00+0530,2070,2078.1,2050,2070.5,46260
2019-02-26T00:00:00+0530,2067,2087.5,2040,2062,87877
2019-02-27T00:00:00+0530,2078.1,2078.1,2030.2,2040.75,62401
2019-02-28T00:00:00+0530,2064.9,2064.9,1980,1986.9,187027
2019-03-01T00:00:00+0530,1990.4,2003.2,1972,1994.85,98433
2019-03-05T00:00:00+0530,1950,2187.7,1932,2150.55,452363
2019-03-06T00:00:00+0530,2151,2180,2140.5,2150.4,126586
2019-03-07T00:00:00+0530,2154.9,2170,2141.1,2152.15,83115
2019-03-08T00:00:00+0530,2152,2209.35,2140,2187.1,195792
2019-03-11T00:00:00+0530,2194.85,2314.5,2189.5,2297.25,248559
2019-03-12T00:00:00+0530,2300.1,2335.5,2227.3,2246.2,199248
2019-03-13T00:00:00+0530,2248.9,2289.8,2246.2,2277.7,146168
2019-03-14T00:00:00+0530,2280,2298.7,2250.1,2262,96875
2019-03-15T00:00:00+0530,2283.8,2283.8,2242.6,2261.25,98190
2019-03-18T00:00:00+0530,2260,2280,2210.2,2225.15,99314
2019-03-19T00:00:00+0530,2224,2224,2157.95,2175.9,201175
2019-03-20T00:00:00+0530,2166,2185,2119,2133.8,137103
2019-03-22T00:00:00+0530,2133.8,2167.45,2127.5,2144.7,216882
2019-03-25T00:00:00+0530,2139,2139,2105.1,2115.15,99423
