Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,827.5,834.75,823.5,833.5,463290
2019-01-02T00:00:00+0530,829.9,838,812.75,815.5,821812
2019-01-03T00:00:00+0530,818,819,798,799.7,959578
2019-01-04T00:00:00+0530,802.1,810.8,793,806.15,1069003
2019-01-07T00:00:00+0530,810.2,824.8,808,820.65,1071590
2019-01-08T00:00:00+0530,820,839.45,811.3,836.6,1023730
2019-01-09T00:00:00+0530,840,844.3,826.5,835.3,4005124
2019-01-10T00:00:00+0530,834.6,837.45,819,820.2,819813
2019-01-11T00:00:00+0530,822.5,832.65,811.8,814.25,1217852
2019-01-14T00:00:00+0530,815,818,807,813.7,734030
2019-01-15T00:00:00+0530,815.9,821.85,802.7,815.5,2626359
2019-01-16T00:00:00+0530,820.8,841.45,820.8,826.3,1926154
2019-01-17T00:00:00+0530,831.45,839.4,821,828.1,997585
2019-01-18T00:00:00+0530,828.9,834.55,818.2,824.95,959572
2019-01-21T00:00:00+0530,828,828,811.95,815.65,506429
2019-01-22T00:00:00+0530,812,812.7,800.2,804.35,756105
2019-01-23T00:00:00+0530,805.6,806.5,777,782.15,1572530
2019-01-24T00:00:00+0530,782,793,778,785.8,1009447
2019-01-25T00:00:00+0530,786.9,794.6,757.05,759.6,991355
2019-01-28T00:00:00+0530,763,763,727.2,732.8,1265661
2019-01-29T00:00:00+0530,722,743.6,722,733.5,991737
2019-01-30T00:00:00+0530,739,741,718,725,1472628
2019-01-31T00:00:00+0530,730,733.45,714.5,721,2616247
2019-02-01T00:00:00+0530,724.05,729.6,708.85,718.95,1307460
2019-02-04T00:00:00+0530,719.6,719.85,701,706.75,1007710
2019-02-05T00:00:00+0530,706.8,714,698,703.95,1169479
2019-02-06T00:00:00+0530,705.05,739.85,705.05,733.5,1587847
2019-02-07T00:00:00+0530,738.05,756.8,730.9,752.75,2848786
2019-02-08T00:00:00+0530,760,764.05,708.4,717.95,3991393
2019-02-11T00:00:00+0530,710.3,724,704.35,716.65,1181227
2019-02-12T00:00:00+0530,717,727.9,710,718.85,1187659
2019-02-13T00:00:00+0530,721,727.45,714.55,717.15,680106
2019-02-14T00:00:00+0530,714,723.5,710.1,718.9,669502
2019-02-15T00:00:00+0530,721.5,722.35,689.1,706.75,1358479
2019-02-18T00:00:00+0530,711.95,711.95,693.8,699.85,1158588
2019-02-19T00:00:00+0530,702.5,724,697.2,718.35,1770799
2019-02-20T00:00:00+0530,721.3,733.5,721.3,730.7,1109901
2019-02-21T00:00:00+0530,726.3,751.65,725.05,747.8,1721402
2019-02-22T00:00:00+0530,747,762,742.05,758.7,1523930
2019-02-25T00:00:00+0530,762,781.5,750,778.65,1901398
2019-02-26T00:00:00+0530,774,785.65,762.6,781,1452437
2019-02-27T00:00:00+0530,782.95,796.9,776.3,782.4,1235553
2019-02-28T00:00:00+0530,788.9,790.5,773.5,777.05,1294690
2019-03-01T00:00:00+0530,780.5,794.6,778.05,791.75,1158050
2019-03-05T00:00:00+0530,791.5,813.45,789.45,810.15,1238834
2019-03-06T00:00:00+0530,818.9,822.2,804.5,820.1,1119970
2019-03-07T00:00:00+0530,821,824.35,808.5,810.2,1121059
2019-03-08T00:00:00+0530,810.25,812.35,797.3,807.05,1267215
2019-03-11T00:00:00+0530,809,831.95,808.25,827.5,1243742
2019-03-12T00:00:00+0530,831.9,838.6,826.2,830.8,1272425
2019-03-13T00:00:00+0530,832,834.2,821,823.15,605280
2019-03-14T00:00:00+0530,823.15,837.4,808.5,832.9,1064493
2019-03-15T00:00:00+0530,838.1,845.8,824.05,829.85,1750118
2019-03-18T00:00:00+0530,816.5,823.5,806.1,818.55,2084748
2019-03-19T00:00:00+0530,820,832.8,815.1,822.3,1404225
2019-03-20T00:00:00+0530,827,829.1,811.65,817.65,1412859
2019-03-22T00:00:00+0530,821,829,814.6,820.1,1683565
2019-03-25T00:00:00+0530,815,817,808,815.4,985371
2019-03-26T00:00:00+0530,820,838.8,816.1,836.7,1077359
2019-03-27T00:00:00+0530,843,844.4,825,828.6,1135187
2019-03-28T00:00:00+0530,828.6,841.45,823.7,830.15,1010951
2019-03-29T00:00:00+0530,838.8,861,828.25,857.95,1635606
2019-04-01T00:00:00+0530,867.65,871,851.75,857.35,1722012
2019-04-02T00:00:00+0530,857.35,859.6,837.5,845.65,1290864
2019-04-03T00:00:00+0530,847.15,852.1,828,831.7,1015377
2019-04-04T00:00:00+0530,834.2,840.7,825.4,834.9,1220209
2019-04-05T00:00:00+0530,835,852.9,828.85,848.95,2003216
2019-04-08T00:00:00+0530,855,858.2,837,840.45,905102
2019-04-09T00:00:00+0530,837,849.1,829,846,679796
2019-04-10T00:00:00+0530,839,853.75,838.25,847.3,874178
2019-04-11T00:00:00+0530,848,853,843.35,848.75,1059178
2019-04-12T00:00:00+0530,852.45,860.85,840.2,853.45,1368130
2019-04-15T00:00:00+0530,853.5,869,852.65,866,955859
2019-04-16T00:00:00+0530,869.9,885,866.05,883.55,1633282
2019-04-18T00:00:00+0530,887.4,887.9,861.6,867.25,1047651
2019-04-22T00:00:00+0530,866.5,871.4,855.1,863.9,871986
2019-04-23T00:00:00+0530,864,873.8,856.3,869.45,1220925
2019-04-24T00:00:00+0530,867.5,887,849.6,880.55,1831558
2019-04-25T00:00:00+0530,876.1,940,876.1,924.8,7135560
2019-04-26T00:00:00+0530,926.45,934,898.1,913.45,2545038
2019-04-30T00:00:00+0530,918,923.8,896.75,901.2,1444739
2019-05-02T00:00:00+0530,900,907.15,891.35,899.3,1021401
2019-05-03T00:00:00+0530,900,909.95,881.55,898.65,1083056
2019-05-06T00:00:00+0530,888.75,898.5,885.35,896.55,872860
2019-05-07T00:00:00+0530,900,906.9,865.5,872.35,1375348
2019-05-08T00:00:00+0530,874.8,879.8,862,870.95,1170460
2019-05-09T00:00:00+0530,864,873,857.05,869,854077
2019-05-10T00:00:00+0530,874.95,875,853.3,857.6,633012
2019-05-13T00:00:00+0530,854.3,854.4,833.35,837.95,652682
2019-05-14T00:00:00+0530,840.15,851.25,817.7,845.55,1341517
2019-05-15T00:00:00+0530,846,847,810.1,814.8,1299508
2019-05-16T00:00:00+0530,815,826.7,804.85,820.1,1463357
2019-05-17T00:00:00+0530,819,833.6,814.3,828.95,1774033
2019-05-20T00:00:00+0530,843,894,843,890.3,1949145
2019-05-21T00:00:00+0530,902.7,902.7,862,865.6,1265452
2019-05-22T00:00:00+0530,868.6,868.6,849,857.35,1361942
2019-05-23T00:00:00+0530,872,905.7,861.55,886.55,3420575
2019-05-24T00:00:00+0530,892.05,914.55,878,910.05,2194830
2019-05-27T00:00:00+0530,905,959.8,896.55,935.3,3423163
2019-05-28T00:00:00+0530,938,938,907.75,910.95,5213864
2019-05-29T00:00:00+0530,911,915.5,901.55,910.5,1351790
2019-05-30T00:00:00+0530,912,919.8,898.7,911.45,2245342
2019-05-31T00:00:00+0530,912.5,913,878.8,886.1,2989460
2019-06-03T00:00:00+0530,890.1,896.9,885,895.05,1327630
2019-06-04T00:00:00+0530,890,903.9,883.3,886.5,997897
2019-06-06T00:00:00+0530,889.9,889.9,852.35,869.55,2884482
2019-06-07T00:00:00+0530,872,877.35,856.95,871.45,1244825
2019-06-10T00:00:00+0530,876.8,884.45,864.85,880.95,1270546
2019-06-11T00:00:00+0530,884.95,895.8,876.5,890.1,1278396
2019-06-12T00:00:00+0530,886,895.95,877.3,888.3,821912
2019-06-13T00:00:00+0530,884,907.5,869.7,904.6,1516431
2019-06-14T00:00:00+0530,904,906.6,892.9,899,1850574
2019-06-17T00:00:00+0530,897.1,900,873.8,879.35,1482691
2019-06-18T00:00:00+0530,878,883.9,866,879.65,886413
2019-06-19T00:00:00+0530,883,888.4,872.85,882.05,954317
2019-06-20T00:00:00+0530,876.15,905.6,870,900.8,1415049
2019-06-21T00:00:00+0530,896.05,913.8,893.75,897.75,1827826
2019-06-24T00:00:00+0530,900.6,909.3,880,886.65,1069347
2019-06-25T00:00:00+0530,886.55,906.45,877.05,902.15,1020230
2019-06-26T00:00:00+0530,897.1,920,897.1,919.15,1829768
2019-06-27T00:00:00+0530,924.95,937.8,916.05,921.8,2075769
2019-06-28T00:00:00+0530,924.8,927.4,905,914.1,1678795
2019-07-01T00:00:00+0530,919.5,926,905.45,920,832301
2019-07-02T00:00:00+0530,923,929.8,915.35,919.8,1027807
2019-07-03T00:00:00+0530,924,934,920.6,927.9,1449541
2019-07-04T00:00:00+0530,930.1,945.8,925.6,941.6,1405857
2019-07-05T00:00:00+0530,943,949.5,917.1,927.05,1720225
2019-07-08T00:00:00+0530,918.2,920,877.95,888.55,1889892
2019-07-09T00:00:00+0530,887,913.5,882.5,910.95,1303425
2019-07-10T00:00:00+0530,907.7,918.9,904.75,913.45,990345
2019-07-11T00:00:00+0530,919.9,924.65,909.65,919.25,783442
2019-07-12T00:00:00+0530,920,927.85,911.25,916.05,1140047
2019-07-15T00:00:00+0530,919,927.6,916,922.3,665164
