Entry Date,Open price,High Price,Low Price
2019-01-01T00:00:00+0530,387.8,388.9,385.1
2019-01-02T00:00:00+0530,385.95,392.5,385.1
2019-01-03T00:00:00+0530,392.65,395.5,389.5
2019-01-04T00:00:00+0530,392,394.95,387.75
2019-01-07T00:00:00+0530,394.5,395.4,390.1
2019-01-08T00:00:00+0530,392.9,396,389.2
2019-01-09T00:00:00+0530,392.7,398.45,391.5
2019-01-10T00:00:00+0530,396.65,409.35,395.05
2019-01-11T00:00:00+0530,408.6,409.4,404
2019-01-14T00:00:00+0530,405.05,405.05,390.25
2019-01-15T00:00:00+0530,392.1,393.7,385.1
2019-01-16T00:00:00+0530,386.4,389.9,385.45
2019-01-17T00:00:00+0530,387.5,392.5,384.1
2019-01-18T00:00:00+0530,391,392.45,383
2019-01-21T00:00:00+0530,383.9,386.2,382
2019-01-22T00:00:00+0530,384.9,389.5,381.1
2019-01-23T00:00:00+0530,385,389.5,371.25
2019-01-24T00:00:00+0530,371.2,374.4,360.1
2019-01-25T00:00:00+0530,363.95,368.75,357
2019-01-28T00:00:00+0530,361,369.5,344.4
2019-01-29T00:00:00+0530,366.45,366.5,357.7
2019-01-30T00:00:00+0530,362.3,372,358
2019-01-31T00:00:00+0530,373,374.5,363
2019-02-01T00:00:00+0530,372.85,377.15,368
2019-02-04T00:00:00+0530,372.55,377.95,370.6
2019-02-05T00:00:00+0530,375,377.3,370.6
2019-02-06T00:00:00+0530,376.25,377,367.7
2019-02-07T00:00:00+0530,370,372,367.1
2019-02-08T00:00:00+0530,368.3,372.8,363.55
2019-02-11T00:00:00+0530,365.8,366.35,351.25
2019-02-12T00:00:00+0530,355.3,360.3,351.35
2019-02-13T00:00:00+0530,355.5,361,354.6
2019-02-14T00:00:00+0530,358,361.7,353.55
2019-02-15T00:00:00+0530,356,361.95,354
2019-02-18T00:00:00+0530,359.45,362.8,349
2019-02-19T00:00:00+0530,351.7,354,346.05
2019-02-20T00:00:00+0530,348.6,349.75,345.75
2019-02-21T00:00:00+0530,347.4,357.7,346.25
2019-02-22T00:00:00+0530,358.35,364,356.15
2019-02-25T00:00:00+0530,362.95,364.9,354
2019-02-26T00:00:00+0530,351,355.75,346.35
2019-02-27T00:00:00+0530,355.3,357.5,348.05
2019-02-28T00:00:00+0530,351.85,356.25,348.15
2019-03-01T00:00:00+0530,351.8,364,351.8
2019-03-05T00:00:00+0530,360.1,379,360.1
2019-03-06T00:00:00+0530,379.8,391.9,376.05
2019-03-07T00:00:00+0530,390.6,394,384.3
2019-03-08T00:00:00+0530,389.1,393.9,385
2019-03-11T00:00:00+0530,391,392,385.3
2019-03-12T00:00:00+0530,367.55,376.85,367.55
2019-03-13T00:00:00+0530,367.5,370.85,365.3
2019-03-14T00:00:00+0530,369.5,369.5,366.05
2019-03-15T00:00:00+0530,367,372.25,366.25
2019-03-18T00:00:00+0530,372,374.3,366.15
2019-03-19T00:00:00+0530,368,368.85,362.5
2019-03-20T00:00:00+0530,364,366.6,362.3
2019-03-22T00:00:00+0530,364.3,367.45,361.55
2019-03-25T00:00:00+0530,360.9,362.5,355.4
2019-03-26T00:00:00+0530,362.2,370.25,361.05
2019-03-27T00:00:00+0530,370.05,375.75,370.05
2019-03-28T00:00:00+0530,371.95,373.2,368.1
2019-03-29T00:00:00+0530,372.75,384.25,369.3
2019-04-01T00:00:00+0530,378.2,387.5,377.15
2019-04-02T00:00:00+0530,384.45,384.5,379.1
2019-04-03T00:00:00+0530,380.6,391.85,379.15
2019-04-04T00:00:00+0530,385.15,385.95,377.5
2019-04-05T00:00:00+0530,380,388.45,380
2019-04-08T00:00:00+0530,387.9,390,381.65
2019-04-09T00:00:00+0530,386,386.35,378.6
2019-04-10T00:00:00+0530,381.75,384.8,375.7
2019-04-11T00:00:00+0530,378.65,397.45,373.6
2019-04-12T00:00:00+0530,396.05,407,395.2
2019-04-15T00:00:00+0530,407.4,408,400.4
2019-04-16T00:00:00+0530,407.1,412.65,403.75
2019-04-18T00:00:00+0530,409.35,413.7,395.9
2019-04-22T00:00:00+0530,405,406.9,396.1
2019-04-23T00:00:00+0530,399.1,403,396.85
2019-04-24T00:00:00+0530,397.6,400.9,397.3
2019-04-25T00:00:00+0530,400.8,402,396.4
2019-04-26T00:00:00+0530,399.1,405.8,393.2
2019-04-30T00:00:00+0530,400,406.4,395
2019-05-02T00:00:00+0530,405.45,418,405.1
2019-05-03T00:00:00+0530,402,419.8,401.1
2019-05-06T00:00:00+0530,411.6,413,408
2019-05-07T00:00:00+0530,412,412.8,406.05
2019-05-08T00:00:00+0530,407.7,413.4,406.1
2019-05-09T00:00:00+0530,411,411.8,407
2019-05-10T00:00:00+0530,410.4,411.95,408.95
2019-05-13T00:00:00+0530,409.95,409.95,395.25
2019-05-14T00:00:00+0530,396.7,396.7,386.85
2019-05-15T00:00:00+0530,390.55,394.8,387.45
2019-05-16T00:00:00+0530,387.95,389.5,377.4
2019-05-17T00:00:00+0530,379.75,384,374.25
2019-05-20T00:00:00+0530,394,399,391
2019-05-21T00:00:00+0530,400,404,396.05
2019-05-22T00:00:00+0530,404,406,396.3
2019-05-23T00:00:00+0530,405,411.75,400
2019-05-24T00:00:00+0530,408,410,399.9
2019-05-27T00:00:00+0530,409,423.95,406.6
2019-05-28T00:00:00+0530,424,426,415.1
2019-05-29T00:00:00+0530,425,426.9,416.45
2019-05-30T00:00:00+0530,425,437,423.4
2019-05-31T00:00:00+0530,437,445,436.05
2019-06-03T00:00:00+0530,442,452,441
2019-06-04T00:00:00+0530,442.5,445,435.3
2019-06-06T00:00:00+0530,441.15,451.8,440
2019-06-07T00:00:00+0530,444.95,453,434.75
2019-06-10T00:00:00+0530,453,454,442.25
2019-06-11T00:00:00+0530,450,450.15,444.5
2019-06-12T00:00:00+0530,446,449.4,440.1
2019-06-13T00:00:00+0530,444.8,453.65,440.5
2019-06-14T00:00:00+0530,454.7,459.9,445.15
2019-06-17T00:00:00+0530,449.5,450.95,440.1
2019-06-18T00:00:00+0530,443.35,445.15,440.05
2019-06-19T00:00:00+0530,443,445.2,436.1
2019-06-20T00:00:00+0530,436.05,442,429.45
2019-06-21T00:00:00+0530,438.1,443.9,436.15
2019-06-24T00:00:00+0530,438.55,442.25,435.6
2019-06-25T00:00:00+0530,440.1,442.2,436
2019-06-26T00:00:00+0530,438,446.35,437
2019-06-27T00:00:00+0530,443.9,456.85,439.05
2019-06-28T00:00:00+0530,457.95,470.65,456.35
2019-07-01T00:00:00+0530,471,478.75,467.25
2019-07-02T00:00:00+0530,469,477,468.6
2019-07-03T00:00:00+0530,471.9,484.95,470.2
2019-07-04T00:00:00+0530,481.5,491.5,479.7
2019-07-05T00:00:00+0530,491.2,494.9,469.2
2019-07-08T00:00:00+0530,463.7,468.2,447.65
2019-07-09T00:00:00+0530,465.4,465.6,453.1
2019-07-10T00:00:00+0530,458,460,454.1
2019-07-11T00:00:00+0530,459.75,470.9,452.75
2019-07-12T00:00:00+0530,471,485,469.1
2019-07-15T00:00:00+0530,482.15,494.5,482.1
2019-07-16T00:00:00+0530,493.4,498.45,481.7
2019-07-17T00:00:00+0530,492.3,503.8,486.6
2019-07-18T00:00:00+0530,498.8,510.5,497.5
2019-07-19T00:00:00+0530,506,509.45,485
2019-07-22T00:00:00+0530,485.85,497.8,479.05
2019-07-23T00:00:00+0530,491,511.55,481.4
2019-07-24T00:00:00+0530,511.9,533,497
2019-07-25T00:00:00+0530,498.85,510.7,498.2
2019-07-26T00:00:00+0530,504.7,508,495.1
2019-07-29T00:00:00+0530,499.8,502.7,478.4
2019-07-30T00:00:00+0530,487.1,491.8,475.1
2019-07-31T00:00:00+0530,481.2,495.5,477.25
2019-08-01T00:00:00+0530,493,502,481.1
2019-08-02T00:00:00+0530,488.95,498.35,480.4
2019-08-05T00:00:00+0530,491.5,494.5,483.3
2019-08-06T00:00:00+0530,485.05,518,485.05
2019-08-07T00:00:00+0530,517,524.8,511.1
2019-08-08T00:00:00+0530,541.4,545.55,516.3
2019-08-09T00:00:00+0530,524.3,535.4,524.3
2019-08-13T00:00:00+0530,529.7,537,516
2019-08-14T00:00:00+0530,487.5,540.55,481.25
2019-08-16T00:00:00+0530,515,543,513.6
