Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,660.95,666.3,654.15,665.05,2943390
2019-01-02T00:00:00+0530,666,674,662.05,669.05,7416655
2019-01-03T00:00:00+0530,672,677,663.1,669.15,6827249
2019-01-04T00:00:00+0530,671.75,673.9,651,661.05,7889310
2019-01-07T00:00:00+0530,665,673.6,661.5,671.7,8046340
2019-01-08T00:00:00+0530,674.95,677.45,668.55,670.05,8621545
2019-01-09T00:00:00+0530,686.2,689.8,664,676.1,18130292
2019-01-10T00:00:00+0530,681.6,682,672.55,679.7,9572493
2019-01-11T00:00:00+0530,680.2,685.5,672.5,683.5,12281903
2019-01-14T00:00:00+0530,707,710.2,695.95,701.9,19312937
2019-01-15T00:00:00+0530,707.2,730,707.2,726.6,19671304
2019-01-16T00:00:00+0530,729.9,737.8,728.5,736.8,9658944
2019-01-17T00:00:00+0530,735.8,739,729.1,733.35,6903771
2019-01-18T00:00:00+0530,730,736.2,726.3,730.95,5902151
2019-01-21T00:00:00+0530,738.2,751,734,745,8129422
2019-01-22T00:00:00+0530,741.25,749,734,745.35,6723375
2019-01-23T00:00:00+0530,742.35,742.6,729.2,731.65,7212099
2019-01-24T00:00:00+0530,728.1,736.1,721,732,7429783
2019-01-25T00:00:00+0530,728,737.9,724.25,730.35,5543112
2019-01-28T00:00:00+0530,731,732.6,719,727.95,7944693
2019-01-29T00:00:00+0530,725.5,732.85,716.5,727.9,6760819
2019-01-30T00:00:00+0530,727.9,734.8,721.1,725.9,5763026
2019-01-31T00:00:00+0530,726,751.3,726,749.55,13825233
2019-02-01T00:00:00+0530,751.35,762.5,744.5,757.05,6276585
2019-02-04T00:00:00+0530,757,762.5,749.2,755.9,3945391
2019-02-05T00:00:00+0530,747,759.95,747,754.85,4694366
2019-02-06T00:00:00+0530,755.55,766.95,754.35,763.3,5880482
2019-02-07T00:00:00+0530,763.05,769.45,761,764,3961797
2019-02-08T00:00:00+0530,760,772.25,754.9,760.9,5915169
2019-02-11T00:00:00+0530,766.9,768.75,759,762.8,5500216
2019-02-12T00:00:00+0530,760.35,760.35,741,750.45,7310690
2019-02-13T00:00:00+0530,750.1,759.7,743.65,754.9,5050182
2019-02-14T00:00:00+0530,751,753,737.25,740.05,4610535
2019-02-15T00:00:00+0530,742.3,746.5,732.6,741.95,5586389
2019-02-18T00:00:00+0530,742.35,747.65,736,741.05,5346825
2019-02-19T00:00:00+0530,739.1,740.55,721.3,724.3,9401334
2019-02-20T00:00:00+0530,727,743,726.05,740.7,5210675
2019-02-21T00:00:00+0530,738,738,727.1,733.45,7202786
2019-02-22T00:00:00+0530,732.5,738.2,728,734.95,3750833
2019-02-25T00:00:00+0530,735.55,758,735.55,754.9,6547552
2019-02-26T00:00:00+0530,748.6,752.6,740.15,742.5,8319610
2019-02-27T00:00:00+0530,745,746.4,732.75,735.25,5936354
2019-02-28T00:00:00+0530,738.7,742.4,732.3,734.3,8559921
2019-03-01T00:00:00+0530,735.5,743.4,735.5,741.9,3998826
2019-03-05T00:00:00+0530,740.5,742.5,730.25,732.5,4826505
2019-03-06T00:00:00+0530,736.1,736.1,727,732.5,6076668
2019-03-07T00:00:00+0530,734,734.5,720.55,722.95,5951551
2019-03-08T00:00:00+0530,722.95,722.95,710.65,712.35,7193994
2019-03-11T00:00:00+0530,713.3,718.5,709.4,711.25,9932198
2019-03-12T00:00:00+0530,709,714.95,705.6,706.95,11997387
2019-03-13T00:00:00+0530,710,718.6,706.3,708.45,11348867
2019-03-14T00:00:00+0530,714,714.9,706.2,708.35,6415187
2019-03-15T00:00:00+0530,712,723.75,709.6,718.55,14638664
2019-03-18T00:00:00+0530,721.55,723.7,705.35,710.2,8065544
2019-03-19T00:00:00+0530,712.8,726.5,707.4,722.25,8917337
2019-03-20T00:00:00+0530,727.25,742.3,727.15,738.95,13471173
2019-03-22T00:00:00+0530,745,746.35,732.3,743.1,8883260
2019-03-25T00:00:00+0530,742.4,742.4,730.55,735.25,7644966
2019-03-26T00:00:00+0530,735.25,735.25,719.1,727.75,9406261
2019-03-27T00:00:00+0530,730,732.3,727.15,729.7,7387487
2019-03-28T00:00:00+0530,730,745,730,737.8,9277241
2019-03-29T00:00:00+0530,743.9,747.95,740,743.85,6924061
2019-04-01T00:00:00+0530,742,760,742,755.1,6584982
2019-04-02T00:00:00+0530,759,765.8,754.6,759.4,7283600
2019-04-03T00:00:00+0530,756,758.5,746.8,753.3,6897127
2019-04-04T00:00:00+0530,751.4,753.8,745.1,747.9,7688525
2019-04-05T00:00:00+0530,750.9,760.95,748,759.3,6276040
2019-04-08T00:00:00+0530,763.05,770,755.4,767.25,4919911
2019-04-09T00:00:00+0530,770,773,758.2,760.6,6730692
2019-04-10T00:00:00+0530,764,766.7,751.3,752.7,7031088
2019-04-11T00:00:00+0530,751.75,751.75,740.05,742.7,8200995
2019-04-12T00:00:00+0530,743.1,751.55,740.6,747.75,7043212
2019-04-15T00:00:00+0530,724.7,731.35,712.6,727.5,31574803
2019-04-16T00:00:00+0530,727.9,727.9,714.1,724.1,12524411
2019-04-18T00:00:00+0530,722.5,722.5,712.75,717.05,13801105
2019-04-22T00:00:00+0530,717.05,725.75,715,721.05,6455426
2019-04-23T00:00:00+0530,723.9,730,718.4,728.2,5516668
2019-04-24T00:00:00+0530,728.2,737.9,724,736.45,8285120
2019-04-25T00:00:00+0530,736.45,737.65,727.05,728.55,8005235
2019-04-26T00:00:00+0530,731,739.8,729,738,6895168
2019-04-30T00:00:00+0530,738,753.8,738,751.35,9920046
2019-05-02T00:00:00+0530,747,748.4,729.5,730.8,6351352
2019-05-03T00:00:00+0530,722.9,731,718.2,723.6,6348116
2019-05-06T00:00:00+0530,715,721.8,710.65,718.4,8858265
2019-05-07T00:00:00+0530,720.4,727.9,718.7,724.55,5747536
2019-05-08T00:00:00+0530,721,726,716.5,719.35,6247642
2019-05-09T00:00:00+0530,719.15,730.3,715.8,721.05,7396525
2019-05-10T00:00:00+0530,720.8,726,715,716.85,8352335
2019-05-13T00:00:00+0530,716.55,726.45,712.1,719.7,6808993
2019-05-14T00:00:00+0530,716.5,717.75,703.6,713.85,10513001
2019-05-15T00:00:00+0530,714.9,725.2,712.6,716.1,6668929
2019-05-16T00:00:00+0530,720,737,719.1,733.1,6468556
2019-05-17T00:00:00+0530,733.15,735.8,720.1,723.9,8155948
2019-05-20T00:00:00+0530,719.7,726.4,706,722.4,11213708
2019-05-21T00:00:00+0530,722.65,722.65,707.7,709.3,8645535
2019-05-22T00:00:00+0530,710,718.25,707,709.75,5795713
2019-05-23T00:00:00+0530,715,716.7,697.45,701.05,7233736
2019-05-24T00:00:00+0530,703.8,711.75,700.45,709.2,7016424
2019-05-27T00:00:00+0530,707.4,713.8,705.5,708.1,10247544
2019-05-28T00:00:00+0530,712,733.45,709.8,728.1,23860490
2019-05-29T00:00:00+0530,725.5,733.65,723.65,727.8,10293077
2019-05-30T00:00:00+0530,727,737.25,722.55,733.55,15089296
2019-05-31T00:00:00+0530,736.5,742.95,733.2,737.75,8290306
2019-06-03T00:00:00+0530,729.8,750.9,729,744.65,7744761
2019-06-04T00:00:00+0530,737.25,739.45,733.15,735.3,11733702
2019-06-06T00:00:00+0530,736.5,744.65,733.65,735.6,7563925
2019-06-07T00:00:00+0530,735.85,743.95,735.85,739.1,3218358
2019-06-10T00:00:00+0530,740.1,754.1,740.1,753.5,4435148
2019-06-11T00:00:00+0530,755,759,750.5,754.9,5733127
2019-06-12T00:00:00+0530,756.95,756.95,745,753.8,8738342
2019-06-13T00:00:00+0530,740,747.2,740,742.65,4808577
2019-06-14T00:00:00+0530,743.85,745.5,738.25,740.45,5556353
2019-06-17T00:00:00+0530,743,744.5,737.8,740.55,3085588
2019-06-18T00:00:00+0530,740.2,752.45,740.2,750.15,6202838
2019-06-19T00:00:00+0530,752.5,755.4,748.6,751.9,4596253
2019-06-20T00:00:00+0530,737.8,756.9,735.9,754.9,7148684
2019-06-21T00:00:00+0530,755,755,747.15,750.2,13200318
2019-06-24T00:00:00+0530,751.9,751.9,742.65,745.5,4758178
2019-06-25T00:00:00+0530,744,750.9,737.3,748.1,3677911
2019-06-26T00:00:00+0530,743,751.45,738,739.2,5447130
2019-06-27T00:00:00+0530,742,744.7,728.15,730.55,11122346
2019-06-28T00:00:00+0530,735.5,739.5,728.5,732,5919494
2019-07-01T00:00:00+0530,735,737.5,729.85,731.3,3224968
2019-07-02T00:00:00+0530,734,741.65,730.1,740,4837606
2019-07-03T00:00:00+0530,741,743.2,730,731.3,5958379
2019-07-04T00:00:00+0530,729,736.4,728.6,733.8,3274064
2019-07-05T00:00:00+0530,735,736.4,713.5,718,4926289
2019-07-08T00:00:00+0530,716.45,724.95,712.3,717.6,7177092
2019-07-09T00:00:00+0530,718,719.85,709.05,715.5,5022638
2019-07-10T00:00:00+0530,709,722.7,706.5,717.25,7573816
2019-07-11T00:00:00+0530,719.45,723.5,709.6,721.5,6252688
2019-07-12T00:00:00+0530,722.5,730.6,719.6,726.75,7874441
2019-07-15T00:00:00+0530,763,781.65,754.2,779.35,31064152
2019-07-16T00:00:00+0530,777,787.8,776,784.85,9924322
2019-07-17T00:00:00+0530,783.9,795,776.75,794.15,6754348
2019-07-18T00:00:00+0530,789.05,798.5,786.2,792.7,6534471
2019-07-19T00:00:00+0530,788.7,794.5,781.25,785.4,6812754
2019-07-22T00:00:00+0530,785.95,792,782.05,784.4,7107151
2019-07-23T00:00:00+0530,787,804,785.55,790.05,10782564
2019-07-24T00:00:00+0530,788,793.75,783.6,786.3,5745146
2019-07-25T00:00:00+0530,788.25,800.2,787.65,794.5,9773568
2019-07-26T00:00:00+0530,792.3,795,782.2,787,4941763
2019-07-29T00:00:00+0530,789.5,796.95,786.2,791.45,6244316
2019-07-30T00:00:00+0530,791.9,797.8,788.55,792.7,8673253
2019-07-31T00:00:00+0530,790.85,799.8,781.6,793.65,7350584
2019-08-01T00:00:00+0530,786.45,788.4,764.4,768.85,10066407
2019-08-02T00:00:00+0530,765.05,779.9,762.25,775.6,10838336
2019-08-05T00:00:00+0530,772.6,785.9,768.65,776.7,9976238
2019-08-06T00:00:00+0530,778.8,783.7,769.8,774.45,9331718
2019-08-07T00:00:00+0530,778.9,783.45,772.35,776.1,5130457
2019-08-08T00:00:00+0530,782.7,792.75,781.25,788.75,8009009
2019-08-09T00:00:00+0530,792,796.75,784.8,789.85,4362520
2019-08-13T00:00:00+0530,784.15,786,760.15,764.75,7517099
2019-08-14T00:00:00+0530,775.1,778.25,768,774.8,5940968
2019-08-16T00:00:00+0530,780,780.05,762.5,774.55,5128088
2019-08-19T00:00:00+0530,775.6,783,773.35,777.65,3881451
2019-08-20T00:00:00+0530,785.2,798,783.85,792.75,8435344
2019-08-21T00:00:00+0530,793,803.75,793,799.45,5926896
2019-08-22T00:00:00+0530,799.9,801.3,792.35,795.7,5222488
2019-08-23T00:00:00+0530,796.45,809.95,795.8,802.2,6895015
2019-08-26T00:00:00+0530,795.9,806.8,786.9,802.55,5412074
2019-08-27T00:00:00+0530,791,794.95,781.1,784.65,16061642
2019-08-28T00:00:00+0530,787.4,805,786.3,802.5,5881134
2019-08-29T00:00:00+0530,795.5,809.7,795.5,806.95,7830413
2019-08-30T00:00:00+0530,810,817.35,802,814.9,8174186
2019-09-03T00:00:00+0530,815,822.4,812.05,814.25,5647088
2019-09-04T00:00:00+0530,810.75,822.45,810.25,821.3,6199015
2019-09-05T00:00:00+0530,830.1,837.5,826.65,834.05,7926895
2019-09-06T00:00:00+0530,843.3,847,835.05,840.15,6106841
2019-09-09T00:00:00+0530,836.8,840.3,827.55,829.1,4377870
2019-09-11T00:00:00+0530,822.3,828.55,814.15,820.1,7981036
2019-09-12T00:00:00+0530,816.4,819.85,810.85,816.4,4400017
2019-09-13T00:00:00+0530,818.1,831.05,817.5,829.3,4832021
2019-09-16T00:00:00+0530,832.05,837.95,820.55,827.7,4846496
2019-09-17T00:00:00+0530,831.5,835,820.55,831.25,5540901
2019-09-18T00:00:00+0530,829.9,832.95,824,829.85,3199389
2019-09-19T00:00:00+0530,824.85,827,815.2,820.7,6601607
2019-09-20T00:00:00+0530,822.9,835,802,805,22462366
2019-09-23T00:00:00+0530,806.9,806.9,741.9,764.35,17279260
2019-09-24T00:00:00+0530,765,798.65,765,794.05,13717998
2019-09-25T00:00:00+0530,787.7,801,781.65,792.65,9313576
2019-09-26T00:00:00+0530,787.75,797,778.1,782.55,18442824
2019-09-27T00:00:00+0530,787.05,794.25,780.1,782.2,5087642
2019-09-30T00:00:00+0530,785.1,808,784.15,805.65,8178091
2019-10-01T00:00:00+0530,807,807.55,791.55,793.55,5881438
2019-10-03T00:00:00+0530,792.55,797.85,784.15,785.6,5497672
2019-10-04T00:00:00+0530,790,797.6,787.05,793.45,8201713
2019-10-07T00:00:00+0530,794.85,802,786.1,789.55,3679845
2019-10-09T00:00:00+0530,795.45,795.9,778.8,783.65,6335025
2019-10-10T00:00:00+0530,785.4,794.7,776.6,783.05,10402917
2019-10-11T00:00:00+0530,781.5,823.8,776.6,814.8,20636344
2019-10-14T00:00:00+0530,786.75,797,780,786.1,15150858
2019-10-15T00:00:00+0530,773.1,775.95,765,768.3,13762133
2019-10-16T00:00:00+0530,765.25,775.95,761.55,771.45,10767032
2019-10-17T00:00:00+0530,767,770.55,765.1,769.5,9860495
2019-10-18T00:00:00+0530,763.8,773.8,760,767.85,10037200
2019-10-22T00:00:00+0530,691.1,691.1,638.35,643.55,90152532
2019-10-23T00:00:00+0530,630,656.65,615.1,650.6,60516887
2019-10-24T00:00:00+0530,650,653.2,632,635.35,25666433
2019-10-25T00:00:00+0530,647,652.5,636,637.45,16549337
2019-10-27T00:00:00+0530,651.1,652.5,645.55,648.85,2945433
2019-10-29T00:00:00+0530,651,653.75,647,650.65,16709764
2019-10-30T00:00:00+0530,660.4,671.4,656.2,660.6,22879467
2019-10-31T00:00:00+0530,668.4,695.45,666.1,685.6,27405901
2019-11-01T00:00:00+0530,690,694,682.6,687.9,9713519
2019-11-04T00:00:00+0530,681.8,732.5,678.15,709,29381982
2019-11-05T00:00:00+0530,708.75,708.75,691.5,696.1,12897805
2019-11-06T00:00:00+0530,695.8,721.5,692,712.3,21372589
2019-11-07T00:00:00+0530,717,724.35,712.1,720.1,13733737
2019-11-08T00:00:00+0530,722,724.25,705.5,708.15,8585630
2019-11-11T00:00:00+0530,698.9,707.2,698,704.4,6951494
2019-11-13T00:00:00+0530,696.5,700,687.75,691.35,9973690
2019-11-14T00:00:00+0530,696.35,709.8,696.35,705.3,10539902
2019-11-15T00:00:00+0530,709.05,712.95,702.3,703.9,7362623
2019-11-18T00:00:00+0530,705,710,699.3,705.2,7490916
2019-11-19T00:00:00+0530,709.9,714,705,712.85,6495885
2019-11-20T00:00:00+0530,712.8,715,705,713,6142171
2019-11-21T00:00:00+0530,715.5,721.45,710.5,713.25,9692973
2019-11-22T00:00:00+0530,711.75,712,685.1,693.2,14415826
2019-11-25T00:00:00+0530,693.35,705.15,693.2,698.1,7334511
2019-11-26T00:00:00+0530,705,707.25,686,690.6,27253106
2019-11-27T00:00:00+0530,694.25,697.65,690.1,695.75,3861635
2019-11-28T00:00:00+0530,699.1,703.35,694.05,701.85,4837683
2019-11-29T00:00:00+0530,700.9,702.3,691.55,696.35,4262379
2019-12-02T00:00:00+0530,703.1,704,690.3,692.7,9383736
2019-12-03T00:00:00+0530,692.7,699.7,688.55,698.35,5239013
2019-12-04T00:00:00+0530,697,710.5,693.35,708.85,7427886
2019-12-05T00:00:00+0530,706.45,715.9,703.8,714.85,4814422
2019-12-06T00:00:00+0530,715.95,720,709.6,715.1,5226096
2019-12-09T00:00:00+0530,716,722.35,714.25,717.25,6435865
2019-12-10T00:00:00+0530,713,718.5,710,714.55,4457939
2019-12-11T00:00:00+0530,716.6,722.7,713,721.05,6043554
2019-12-12T00:00:00+0530,718.5,720.7,699.55,702.1,11112042
2019-12-13T00:00:00+0530,700.35,712.9,700.35,711.3,10302412
2019-12-16T00:00:00+0530,712.3,720.2,710.2,714,5616324
2019-12-17T00:00:00+0530,719.7,731.25,715,729.7,10525565
2019-12-18T00:00:00+0530,731,737.3,722.75,732.45,12215295
2019-12-19T00:00:00+0530,733.5,735.95,724.6,730.85,7199210
2019-12-20T00:00:00+0530,731,735,728.25,731.55,7794167
2019-12-23T00:00:00+0530,732.15,737.3,731.65,736,4975608
2019-12-24T00:00:00+0530,736.95,736.95,728.3,733.4,2890759
2019-12-26T00:00:00+0530,732,734.55,726.55,728.95,3821806
2019-12-27T00:00:00+0530,729.75,737.5,728.85,736.95,3399094
2019-12-30T00:00:00+0530,736.1,737.95,727.25,732.9,5368416
2019-12-31T00:00:00+0530,729.7,737.75,725.45,731.15,6927885
2020-01-01T00:00:00+0530,735,740,732.55,736.85,2112415
2020-01-02T00:00:00+0530,738.9,740.8,730.9,734.7,5658200
2020-01-03T00:00:00+0530,733.9,748,733.9,746,7882938
2020-01-06T00:00:00+0530,746.1,753.8,736.5,738.85,6519403
2020-01-07T00:00:00+0530,738,742.6,725.1,727.9,7899363
2020-01-08T00:00:00+0530,724.95,729,708.3,718.2,8639443
2020-01-09T00:00:00+0530,721.7,731.5,714.3,727.55,13521186
2020-01-10T00:00:00+0530,740.45,742.9,730.5,738.15,9341405
2020-01-13T00:00:00+0530,760,777.5,755,773.55,36952038
2020-01-14T00:00:00+0530,769.95,776.95,767.2,775.65,11414418
2020-01-15T00:00:00+0530,773.85,773.85,762.15,767.55,6047430
2020-01-16T00:00:00+0530,770.7,772.5,760.25,767,5740586
2020-01-17T00:00:00+0530,770.7,772.9,762.25,767.85,3762957
2020-01-20T00:00:00+0530,771.6,774.4,762.95,768.45,3887680
2020-01-21T00:00:00+0530,768.45,770.5,760.75,762.5,4448374
2020-01-22T00:00:00+0530,768.45,778,766,770.2,9733935
2020-01-23T00:00:00+0530,777.1,785.5,776.7,784.35,12528017
2020-01-24T00:00:00+0530,775.75,786.5,773.6,782.75,7540490
2020-01-27T00:00:00+0530,779.05,784.8,774.4,778.1,3741610
2020-01-28T00:00:00+0530,781,781.8,772,778,5121009
2020-01-29T00:00:00+0530,786.6,792.8,784.25,789.7,6832757
2020-01-30T00:00:00+0530,789.7,789.7,778,780.7,3859680
2020-01-31T00:00:00+0530,780.55,784.95,771.6,775.95,6092028
2020-02-01T00:00:00+0530,775.1,791.25,769.25,779.5,5104062
2020-02-03T00:00:00+0530,782,790.95,764.5,767.4,6416745
2020-02-04T00:00:00+0530,770.1,789.9,770.1,787.85,5771311
2020-02-05T00:00:00+0530,781,786,774.4,784.55,6310409
2020-02-06T00:00:00+0530,784.35,786.8,770,771.35,7341622
2020-02-07T00:00:00+0530,775.95,778.85,771,777.3,2853344
2020-02-10T00:00:00+0530,774,778,769.75,773.2,3827682
2020-02-11T00:00:00+0530,779,779.1,769.2,773.55,4312817
2020-02-12T00:00:00+0530,775.8,783.25,775.1,781.05,2948825
2020-02-13T00:00:00+0530,785,794,782.2,792.25,4387430
2020-02-14T00:00:00+0530,794.5,799.2,784.6,786.45,5321680
2020-02-17T00:00:00+0530,790.3,793.45,783.3,789.45,2929629
2020-02-18T00:00:00+0530,785,799.05,783.65,797.65,5083346
2020-02-19T00:00:00+0530,800,804.85,796.15,800.45,3985192
2020-02-20T00:00:00+0530,803.25,806.1,793.85,797,4564569
