Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,1254,1256,1242.25,1250.45,1202580
2019-01-02T00:00:00+0530,1247.9,1248.25,1227,1240.6,1713677
2019-01-03T00:00:00+0530,1240,1251,1227.65,1235.25,1825888
2019-01-04T00:00:00+0530,1238,1252,1230,1247.95,1468796
2019-01-07T00:00:00+0530,1250.95,1254,1241,1246.6,1211456
2019-01-08T00:00:00+0530,1243,1244.2,1225.95,1228.9,1661528
2019-01-09T00:00:00+0530,1237.35,1244,1228.1,1238.25,1647622
2019-01-10T00:00:00+0530,1239,1242,1216.35,1219.55,1651443
2019-01-11T00:00:00+0530,1225,1229.2,1213.2,1223.2,2129299
2019-01-14T00:00:00+0530,1217,1224.45,1206.4,1211.75,1364695
2019-01-15T00:00:00+0530,1217,1220,1210.3,1213.4,1153871
2019-01-16T00:00:00+0530,1215.7,1216.95,1198,1202.75,2374649
2019-01-17T00:00:00+0530,1208,1225.05,1200,1219.95,3934500
2019-01-18T00:00:00+0530,1220.1,1243,1216.5,1240.2,2598572
2019-01-21T00:00:00+0530,1240.7,1275.5,1222.65,1267.6,9785366
2019-01-22T00:00:00+0530,1279,1307.95,1273.1,1291.75,9072680
2019-01-23T00:00:00+0530,1298.9,1298.9,1271.05,1276.5,3258582
2019-01-24T00:00:00+0530,1274,1276.5,1263,1267.75,1459776
2019-01-25T00:00:00+0530,1268.8,1287.7,1258.55,1266.15,1441296
2019-01-28T00:00:00+0530,1269,1285,1255,1260.45,2054592
2019-01-29T00:00:00+0530,1260,1273,1248,1251.4,2591590
2019-01-30T00:00:00+0530,1255,1255.5,1217.8,1222.2,2754232
2019-01-31T00:00:00+0530,1222,1260,1211.4,1255.75,2968660
2019-02-01T00:00:00+0530,1257.05,1270.8,1240.2,1255.7,2189154
2019-02-04T00:00:00+0530,1245,1274.7,1245,1272.2,1379319
2019-02-05T00:00:00+0530,1276,1287,1267.5,1279.15,1917782
2019-02-06T00:00:00+0530,1280,1288.8,1276.35,1279.5,1158741
