Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,11150,11170.4,10989.95,11015.05,31709
2019-01-02T00:00:00+0530,10980.5,11160,10907.05,11035.4,28167
2019-01-03T00:00:00+0530,11111,11499,10999.9,11207.15,169291
2019-01-04T00:00:00+0530,11139,11198.9,10655.55,10851.2,206163
2019-01-07T00:00:00+0530,10875,10939.65,10700,10786.1,85959
2019-01-08T00:00:00+0530,10800,11240,10690,11005.4,134341
2019-01-09T00:00:00+0530,11099.85,11298.4,11058.4,11252.25,98483
2019-01-10T00:00:00+0530,11320,11447.8,11139.6,11416.6,76915
2019-01-11T00:00:00+0530,11400.15,11458,11151,11273,57253
2019-01-14T00:00:00+0530,11300,11385.7,11189.95,11228.65,51811
2019-01-15T00:00:00+0530,11296,11340,11200,11282.65,49470
2019-01-16T00:00:00+0530,11261.05,11291.75,10980,11055.9,136679
2019-01-17T00:00:00+0530,11200,11232.95,11122,11165.7,72737
2019-01-18T00:00:00+0530,11200,11326.45,11181,11248.4,76762
2019-01-21T00:00:00+0530,11296,11308.95,11150.1,11255.25,19108
2019-01-22T00:00:00+0530,11290,11350,11200,11236.55,39958
2019-01-23T00:00:00+0530,11255,11348,11240,11315.9,51210
2019-01-24T00:00:00+0530,11315.9,11460,11306.05,11433.4,104618
2019-01-25T00:00:00+0530,11460,11517,11300,11365.6,59928
2019-01-28T00:00:00+0530,11365.6,11420,11155,11360.6,103963
2019-01-29T00:00:00+0530,11380,11440,11293.9,11399.1,70632
2019-01-30T00:00:00+0530,11420,11439.75,11280,11396.65,39290
2019-01-31T00:00:00+0530,11420,11538.95,11373.05,11497.85,95373
2019-02-01T00:00:00+0530,11498.05,11622,11430.15,11556.55,61906
2019-02-04T00:00:00+0530,11515,11642.15,11500,11533.75,34434
2019-02-05T00:00:00+0530,11534.95,11654,11510.1,11607.45,36727
2019-02-06T00:00:00+0530,11654,11654,11469.7,11617.4,27885
2019-02-07T00:00:00+0530,11615,11749,11540,11715.7,36168
2019-02-08T00:00:00+0530,11707.95,11751,11111,11242.7,114697
2019-02-11T00:00:00+0530,11300,11300,10765.45,10843.5,122841
2019-02-12T00:00:00+0530,10835,10850,10615.7,10783.8,97576
2019-02-13T00:00:00+0530,10869,10950,10458.45,10578.3,112684
2019-02-14T00:00:00+0530,10541,10778.95,10310,10628.8,124563
2019-02-15T00:00:00+0530,10450,10740.15,10251,10535.45,414813
2019-02-18T00:00:00+0530,10549,10579.95,10176.25,10349.45,87235
2019-02-19T00:00:00+0530,10350.05,10729.05,10350.05,10515.4,88601
2019-02-20T00:00:00+0530,10531.5,10638.85,10399.25,10521.8,62379
2019-02-21T00:00:00+0530,10500,10671.45,10450,10621.95,70280
2019-02-22T00:00:00+0530,10639.9,10709,10561.65,10685.45,55283
2019-02-25T00:00:00+0530,10739,10870,10680,10831.65,42086
2019-02-26T00:00:00+0530,10799,10855,10666.5,10804.4,72467
2019-02-27T00:00:00+0530,10804.4,10820.65,10651.8,10713.7,85713
2019-02-28T00:00:00+0530,10750,10763.45,10555.1,10639.75,111875
2019-03-01T00:00:00+0530,10640,10675,10406.05,10451.8,109782
2019-03-05T00:00:00+0530,10281.45,10566.65,10281.45,10505.95,81658
2019-03-06T00:00:00+0530,10593,10593,10195,10320.75,145434
2019-03-07T00:00:00+0530,10340,10352.6,10165.1,10203.35,78052
2019-03-08T00:00:00+0530,10219.95,10220,10035,10095.15,98498
2019-03-11T00:00:00+0530,10099.35,10329,10031.65,10292.8,114136
2019-03-12T00:00:00+0530,10298.9,10511.95,10260.05,10428.9,83043
2019-03-13T00:00:00+0530,10528,10754.95,10500.4,10723.3,133760
2019-03-14T00:00:00+0530,10758,10770,10540,10739.3,55804
2019-03-15T00:00:00+0530,10701.3,10762.05,10230.05,10289.9,183452
2019-03-18T00:00:00+0530,10375,10495.4,10271.2,10456.6,61262
2019-03-19T00:00:00+0530,10456.6,10755,10409.85,10707,82821
2019-03-20T00:00:00+0530,10729.9,10749.95,10463.5,10530.15,59630
2019-03-22T00:00:00+0530,10593,10649,10527.25,10600.65,85656
2019-03-25T00:00:00+0530,10515.05,10549.9,10303,10528.3,109785
2019-03-26T00:00:00+0530,10565.2,10790.25,10515.95,10691.9,150685
2019-03-27T00:00:00+0530,10690.95,11049,10576.75,10892,139605
2019-03-28T00:00:00+0530,10938.9,11130,10801,11073.1,91828
2019-03-29T00:00:00+0530,11027.15,11239,10901,10960.95,149501
2019-04-01T00:00:00+0530,10980,11121,10861.1,10915.15,81431
2019-04-02T00:00:00+0530,10979.7,10979.7,10700,10786.8,59609
2019-04-03T00:00:00+0530,10947,11067,10780,11003.75,74692
2019-04-04T00:00:00+0530,11059,11059,10850,10961.85,40177
2019-04-05T00:00:00+0530,10935.05,11091,10900,10980.75,26013
2019-04-08T00:00:00+0530,10999,11050,10804.5,10850.6,37049
2019-04-09T00:00:00+0530,10889,10889,10740,10790.05,75730
2019-04-10T00:00:00+0530,10792.5,10850,10730,10811.95,48089
2019-04-11T00:00:00+0530,10795,10899,10690,10764.1,93902
2019-04-12T00:00:00+0530,10767.9,11000,10764.3,10973.8,49737
2019-04-15T00:00:00+0530,11000,11089,10891.05,10970.1,84735
2019-04-16T00:00:00+0530,11000,11218.95,10995,11155.8,89355
2019-04-18T00:00:00+0530,11186.4,11239.95,10925,10954.45,56399
2019-04-22T00:00:00+0530,10965,11125,10851.55,10879.9,31883
2019-04-23T00:00:00+0530,10940,10979,10872,10910.2,25119
2019-04-24T00:00:00+0530,10907.5,11029.55,10705,10833.4,76358
2019-04-25T00:00:00+0530,10890,10990,10780,10846.45,90249
2019-04-26T00:00:00+0530,10851,11049.2,10822.05,10971.25,51412
2019-04-30T00:00:00+0530,10900,10974.95,10854.7,10905.3,74238
2019-05-02T00:00:00+0530,10905,10905,10403.05,10589.7,44249
2019-05-03T00:00:00+0530,10650,10650,10380,10485.7,115448
2019-05-06T00:00:00+0530,10400,10497.1,10305.05,10364,90136
2019-05-07T00:00:00+0530,10401.5,10589.95,10401,10477.1,72631
2019-05-08T00:00:00+0530,10487.75,10536,10275.7,10298.35,46391
2019-05-09T00:00:00+0530,10295,10409,10200,10362.2,46552
2019-05-10T00:00:00+0530,10371.9,10435.65,10171.05,10231.15,61273
2019-05-13T00:00:00+0530,10262,10433.25,10232.25,10300.05,48042
2019-05-14T00:00:00+0530,10310,10364.4,10120.05,10198.65,54275
2019-05-15T00:00:00+0530,10401,10509,10211,10268.55,127190
2019-05-16T00:00:00+0530,10332.7,10401,10255.05,10280.55,39322
2019-05-17T00:00:00+0530,10299.95,10546.2,10256.85,10465.65,65704
2019-05-20T00:00:00+0530,10680,10832,10560.35,10768.15,49555
2019-05-21T00:00:00+0530,10849.95,10884.7,10493.95,10609.2,47182
2019-05-22T00:00:00+0530,10650.05,10784.2,10600,10700.55,31497
2019-05-23T00:00:00+0530,10848,10989,10680,10797.05,56257
2019-05-24T00:00:00+0530,10813,10849.9,10592.3,10660.05,49465
2019-05-27T00:00:00+0530,10750,11083,10700,11036.25,84400
2019-05-28T00:00:00+0530,11040,11165,10950,11105.2,133445
2019-05-29T00:00:00+0530,11125,11295.95,10987.45,11206,128654
2019-05-30T00:00:00+0530,11175.25,11345,11170,11320.5,93421
2019-05-31T00:00:00+0530,11350,11540,11303.45,11498.1,70172
2019-06-03T00:00:00+0530,11498.6,11700,11498.6,11686.45,64302
2019-06-04T00:00:00+0530,11600,11698,11428,11552.35,96144
2019-06-06T00:00:00+0530,11552.35,11684,11530,11603.3,82658
2019-06-07T00:00:00+0530,11610,11628,11451,11503.85,43726
2019-06-10T00:00:00+0530,11607.1,11729,11376,11698.4,48341
2019-06-11T00:00:00+0530,11755,11817.7,11498.1,11622.95,72286
2019-06-12T00:00:00+0530,11674,11715,11505,11695.5,43374
2019-06-13T00:00:00+0530,11620,11661.55,11570.05,11613.75,69156
2019-06-14T00:00:00+0530,11615.5,11723.65,11451,11489,40564
2019-06-17T00:00:00+0530,11559,11629.65,11425.65,11480.85,45786
