Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,150,150.1,148,148.5,4496586
2019-01-02T00:00:00+0530,148,148.35,145.75,147.05,17436694
2019-01-03T00:00:00+0530,145,145.65,141.6,142.4,26599483
2019-01-04T00:00:00+0530,142.05,146.2,142.05,145.7,7395898
2019-01-07T00:00:00+0530,147.55,148.4,145.75,147.85,12700566
2019-01-08T00:00:00+0530,149.1,149.1,146.3,147.45,6163846
2019-01-09T00:00:00+0530,147.9,148.2,144.85,145.3,4951441
2019-01-10T00:00:00+0530,145.9,147,143,143.25,7131028
2019-01-11T00:00:00+0530,144,145.5,143.65,144.65,7665486
2019-01-14T00:00:00+0530,145,145.2,142.5,143.45,6028078
2019-01-15T00:00:00+0530,144.7,145.5,144.05,145.15,3680774
2019-01-16T00:00:00+0530,145.2,147.25,145.2,146.35,3667241
2019-01-17T00:00:00+0530,146.5,147.45,144.45,145,5142302
2019-01-18T00:00:00+0530,145.1,147.7,145.1,146.75,4904282
2019-01-21T00:00:00+0530,147,147.2,144.1,144.7,4087312
2019-01-22T00:00:00+0530,145.5,146,144.05,144.35,4113351
2019-01-23T00:00:00+0530,144.7,145.55,143,143.3,4946218
2019-01-24T00:00:00+0530,143.4,143.95,141.05,141.7,3820645
2019-01-25T00:00:00+0530,142.1,144.45,141.65,142,3871762
2019-01-28T00:00:00+0530,142.5,142.95,139.65,141.65,2910523
2019-01-29T00:00:00+0530,142.3,143.7,140.1,141.05,7282910
2019-01-30T00:00:00+0530,141.45,141.5,138.5,139.7,8511453
2019-01-31T00:00:00+0530,140.2,142.8,139.25,141.25,28107358
2019-02-01T00:00:00+0530,141,143.3,139.8,141.8,5260578
2019-02-04T00:00:00+0530,142.5,147.45,142.45,146.25,9532350
2019-02-05T00:00:00+0530,146,148.2,142.3,142.95,5413425
2019-02-06T00:00:00+0530,143.4,147.75,142.5,146.7,5075180
2019-02-07T00:00:00+0530,146.9,148.3,145.5,147.9,6080631
2019-02-08T00:00:00+0530,146.3,148.3,143.15,144.15,4510762
2019-02-11T00:00:00+0530,143.25,143.65,137.1,138.2,6424512
2019-02-12T00:00:00+0530,138.5,140.95,136.55,137.45,6816203
2019-02-13T00:00:00+0530,138.75,139.5,133.1,133.4,8709694
2019-02-14T00:00:00+0530,133.5,134.2,127.6,132.15,25346334
2019-02-15T00:00:00+0530,138,140.9,133.4,135,37975666
2019-02-18T00:00:00+0530,136.8,138.9,135.8,137.1,10614715
2019-02-19T00:00:00+0530,137.2,140.35,137.2,139.15,9077045
2019-02-20T00:00:00+0530,141.6,145.35,140,144.05,14236359
2019-02-21T00:00:00+0530,145,148.6,144.2,146.95,13876243
2019-02-22T00:00:00+0530,148.6,150.5,147.1,148.6,18273813
2019-02-25T00:00:00+0530,149,149.35,145.7,147.75,20216077
2019-02-26T00:00:00+0530,147.5,149.2,146,147.5,12458860
2019-02-27T00:00:00+0530,148.75,149.75,146.5,148,11868751
2019-02-28T00:00:00+0530,144.4,150.75,143.1,148.65,48854712
2019-03-01T00:00:00+0530,149.9,150.2,147.85,149.1,9764801
2019-03-05T00:00:00+0530,148.75,155.65,147.85,155,11194669
2019-03-06T00:00:00+0530,155.1,157,152.8,154.8,15648948
2019-03-07T00:00:00+0530,154.8,155.5,151.5,152.05,30210637
2019-03-08T00:00:00+0530,152.1,152.6,147,150.4,17986042
2019-03-11T00:00:00+0530,151.55,154.3,151.1,153,15880368
2019-03-12T00:00:00+0530,154,155.6,151.1,151.85,10818012
2019-03-13T00:00:00+0530,151.25,151.25,145.7,149.75,21001041
2019-03-14T00:00:00+0530,150,152.5,149.5,151.05,6328309
2019-03-15T00:00:00+0530,151.9,157.45,151.2,156,15483879
2019-03-18T00:00:00+0530,155,157.3,153.6,154.65,7575127
