Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,111.1,112.8,110.35,112.5,3961625
2019-01-02T00:00:00+0530,112,112.5,109.15,109.85,7876560
2019-01-03T00:00:00+0530,109.65,109.7,108,108.6,7942864
2019-01-04T00:00:00+0530,108.75,110.65,107.65,110.2,4017540
2019-01-07T00:00:00+0530,110.35,111.9,110.2,111.65,3592513
2019-01-08T00:00:00+0530,111.35,111.7,110.15,111,3990871
2019-01-09T00:00:00+0530,111,111.8,110.05,111.15,4087529
2019-01-10T00:00:00+0530,111.1,111.1,109.65,110.05,3589725
2019-01-11T00:00:00+0530,109.65,110.2,108.7,109.3,2995789
2019-01-14T00:00:00+0530,109.15,109.3,107.45,108.3,5370461
2019-01-15T00:00:00+0530,111.95,111.95,107.1,108.25,11498868
2019-01-16T00:00:00+0530,108.3,109.2,107.8,108,8515441
2019-01-17T00:00:00+0530,108,109.45,108,109.1,5325531
2019-01-18T00:00:00+0530,109.15,110.65,108.3,108.9,4366941
2019-01-21T00:00:00+0530,109.1,109.55,107.25,107.6,4067144
2019-01-22T00:00:00+0530,107.45,107.6,106.05,106.75,3577455
2019-01-23T00:00:00+0530,106.6,107.75,104.5,104.8,6173491
2019-01-24T00:00:00+0530,105.05,106.4,104.35,105.05,6157088
2019-01-25T00:00:00+0530,105.55,106.4,104.2,104.55,3868441
2019-01-28T00:00:00+0530,104.65,106.1,102.4,105.65,7440853
2019-01-29T00:00:00+0530,105.1,105.65,103.3,104.4,17469351
2019-01-30T00:00:00+0530,104.15,105.7,103.15,105.25,12711501
2019-01-31T00:00:00+0530,106.05,107.75,105.1,106.1,25774313
2019-02-01T00:00:00+0530,107.4,107.95,104.6,107,9474849
2019-02-04T00:00:00+0530,106.6,106.6,103.35,103.85,3678668
2019-02-05T00:00:00+0530,103.6,105.15,103.25,104.7,5500377
2019-02-06T00:00:00+0530,104.8,106.15,103.9,105.1,4322649
2019-02-07T00:00:00+0530,105.15,105.6,103.5,103.85,4309304
2019-02-08T00:00:00+0530,103.85,105.7,101.55,101.8,7692145
2019-02-11T00:00:00+0530,101.05,103.05,100.05,102.55,7913451
2019-02-12T00:00:00+0530,102.95,104.85,101.5,101.95,11930403
2019-02-13T00:00:00+0530,102.15,103.9,97.75,99.3,15155648
2019-02-14T00:00:00+0530,99.85,100.6,97.05,98.4,36962391
2019-02-15T00:00:00+0530,100.35,102.5,99.9,102.1,16005611
2019-02-18T00:00:00+0530,102.1,103.25,101,101.65,7973919
2019-02-19T00:00:00+0530,101.4,102.95,100.65,100.95,10824412
2019-02-20T00:00:00+0530,101.65,102.7,100.45,102.25,9658184
2019-02-21T00:00:00+0530,102.8,102.95,101.75,102.25,9197824
2019-02-22T00:00:00+0530,102.25,102.7,101.55,102.35,12182132
2019-02-25T00:00:00+0530,101.8,102.7,100.45,102.35,29907323
2019-02-26T00:00:00+0530,101,102.8,100.6,101.95,13683801
2019-02-27T00:00:00+0530,102,103.7,101.2,102.1,13566495
2019-02-28T00:00:00+0530,102.9,103.9,101.6,102.85,69863940
2019-03-01T00:00:00+0530,103,103.35,102.45,103.05,7227772
2019-03-05T00:00:00+0530,103.5,104.35,102.7,102.95,15733697
2019-03-06T00:00:00+0530,103,104.85,102.25,103.8,20336767
2019-03-07T00:00:00+0530,105.2,106.6,103.85,105.25,12295539
2019-03-08T00:00:00+0530,105.75,106,104.2,105.2,6211300
2019-03-11T00:00:00+0530,106.05,110.25,105.6,109.3,17678892
2019-03-12T00:00:00+0530,109.5,113.65,109.5,110.45,26457157
2019-03-13T00:00:00+0530,111.45,111.55,108.65,109.55,6930223
2019-03-14T00:00:00+0530,106.3,106.75,105.35,105.55,8466765
2019-03-15T00:00:00+0530,105.25,109.25,105.25,108.7,14301915
2019-03-18T00:00:00+0530,109.2,111.25,108.7,110.85,14247337
2019-03-19T00:00:00+0530,110.35,112.6,109.9,111.95,16995997
2019-03-20T00:00:00+0530,112.1,112.45,110.55,111.05,9060589
2019-03-22T00:00:00+0530,111.35,113,110.9,111.7,8782833
2019-03-25T00:00:00+0530,110.95,114.5,109.75,113.65,14506516
2019-03-26T00:00:00+0530,113.7,114.7,112.15,114.1,8371544
2019-03-27T00:00:00+0530,114.2,115.15,111.7,112.6,11579885
2019-03-28T00:00:00+0530,112.5,112.5,110.5,111.55,17034861
2019-03-29T00:00:00+0530,111.4,112.85,110.65,111.35,12335728
2019-04-01T00:00:00+0530,111.5,112.35,109.75,110,10617688
