Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,1072.6,1074.55,1058.15,1068.55,4674622
2019-01-02T00:00:00+0530,1062.35,1074.25,1049.45,1054.6,7495772
2019-01-03T00:00:00+0530,1055.65,1062.45,1039.05,1041.6,7812061
2019-01-04T00:00:00+0530,1046.05,1052.75,1030.5,1047.25,8880761
2019-01-07T00:00:00+0530,1055.2,1066.1,1049.45,1053.05,5784262
2019-01-08T00:00:00+0530,1053.35,1058,1044.7,1052.95,5901336
2019-01-09T00:00:00+0530,1059.95,1064.7,1047.3,1058.75,6049942
2019-01-10T00:00:00+0530,1055.9,1059,1051.4,1055.65,4280616
2019-01-11T00:00:00+0530,1055.75,1061.65,1037.65,1046.65,6781266
2019-01-14T00:00:00+0530,1043.75,1049,1035.55,1045.45,4313661
2019-01-15T00:00:00+0530,1053.3,1079,1053.3,1076.8,10556940
2019-01-16T00:00:00+0530,1081.9,1091.4,1077.45,1082.75,6696157
2019-01-17T00:00:00+0530,1090.9,1094.2,1077.1,1081.35,7855605
2019-01-18T00:00:00+0530,1095.05,1134.2,1082.1,1128.9,26945176
2019-01-21T00:00:00+0530,1138.1,1181.9,1133,1179.8,23120577
2019-01-22T00:00:00+0530,1175.15,1188.6,1162.5,1177.35,17365526
2019-01-23T00:00:00+0530,1175.6,1185.95,1164.8,1168.9,9263011
2019-01-24T00:00:00+0530,1167.65,1194.55,1163,1189.05,13801075
2019-01-25T00:00:00+0530,1191.95,1205.5,1177.6,1187.7,8970663
2019-01-28T00:00:00+0530,1192,1197.15,1165.2,1172,8989997
2019-01-29T00:00:00+0530,1173.4,1174,1145.1,1154,9786893
2019-01-30T00:00:00+0530,1158.15,1167.65,1135.35,1139.75,8232207
2019-01-31T00:00:00+0530,1145.75,1172.15,1144.8,1169.7,10685425
2019-02-01T00:00:00+0530,1176.25,1196.25,1169.6,1191.45,9682087
2019-02-04T00:00:00+0530,1188.65,1236.25,1183.9,1230.5,12243569
2019-02-05T00:00:00+0530,1231.55,1243.35,1218.75,1231.1,9822079
2019-02-06T00:00:00+0530,1235.6,1256,1233.7,1248.95,9873673
2019-02-07T00:00:00+0530,1248.95,1259.35,1225.9,1230,9664527
