Entry Date,Open price,High Price,Low Price
2019-01-01T00:00:00+0530,595.25,601.8,592.2
2019-01-02T00:00:00+0530,593.4,604,593.4
2019-01-03T00:00:00+0530,598.4,603,590
2019-01-04T00:00:00+0530,603,615,600
2019-01-07T00:00:00+0530,602.85,608.85,597.7
2019-01-08T00:00:00+0530,600,626.9,600
2019-01-09T00:00:00+0530,615,649.75,615
2019-01-10T00:00:00+0530,642.1,648.4,631
2019-01-11T00:00:00+0530,635,643,630
2019-01-14T00:00:00+0530,633,636.65,618.25
2019-01-15T00:00:00+0530,624,631.15,620
2019-01-16T00:00:00+0530,622.5,630.3,618
2019-01-17T00:00:00+0530,621.5,633.55,618
2019-01-18T00:00:00+0530,627,629.5,615
2019-01-21T00:00:00+0530,625,644.7,612.5
2019-01-22T00:00:00+0530,620,629.8,611.7
2019-01-23T00:00:00+0530,623,628.9,612.2
2019-01-24T00:00:00+0530,620,629.4,615.1
2019-01-25T00:00:00+0530,627.45,633,615.65
2019-01-28T00:00:00+0530,621,624.45,595.25
2019-01-29T00:00:00+0530,600.1,617.95,595.7
2019-01-30T00:00:00+0530,607,616.4,596
2019-01-31T00:00:00+0530,600.5,607.75,593.7
2019-02-01T00:00:00+0530,600,604,588.1
2019-02-04T00:00:00+0530,594,599,571.1
2019-02-05T00:00:00+0530,589.75,594,582
2019-02-06T00:00:00+0530,585,590,575
2019-02-07T00:00:00+0530,580,584.4,575.05
2019-02-08T00:00:00+0530,577.25,583.95,575
2019-02-11T00:00:00+0530,576,579.1,561.05
2019-02-12T00:00:00+0530,569.85,585.65,562.1
2019-02-13T00:00:00+0530,574,579.95,564
2019-02-14T00:00:00+0530,569.9,574.5,564.9
2019-02-15T00:00:00+0530,568.55,575.8,562
2019-02-18T00:00:00+0530,569.5,572.1,563.3
2019-02-19T00:00:00+0530,573.65,573.65,560.9
2019-02-20T00:00:00+0530,564.6,571.1,556
2019-02-21T00:00:00+0530,562,565.7,560
2019-02-22T00:00:00+0530,565.25,570,556.75
2019-02-25T00:00:00+0530,563,564.85,555.35
2019-02-26T00:00:00+0530,561,564,555
2019-02-27T00:00:00+0530,563,565.95,561.1
2019-02-28T00:00:00+0530,565,582,565
2019-03-01T00:00:00+0530,581.95,622.1,515.55
2019-03-05T00:00:00+0530,599,617,596.1
2019-03-06T00:00:00+0530,608,621.8,602
2019-03-07T00:00:00+0530,610,612.4,590
2019-03-08T00:00:00+0530,587,596.4,585.4
2019-03-11T00:00:00+0530,589.75,626.4,587.4
2019-03-12T00:00:00+0530,623,634.9,612
2019-03-13T00:00:00+0530,618,621.5,610.2
2019-03-14T00:00:00+0530,619,620.95,611
2019-03-15T00:00:00+0530,613.1,619.75,611
2019-03-18T00:00:00+0530,616.05,620.9,606.05
2019-03-19T00:00:00+0530,613,622.75,602
2019-03-20T00:00:00+0530,613.85,620,607.6
2019-03-22T00:00:00+0530,610,619,605
2019-03-25T00:00:00+0530,602.05,616.95,602.05
2019-03-26T00:00:00+0530,612,617.9,606.8
2019-03-27T00:00:00+0530,607.45,620.8,607.45
2019-03-28T00:00:00+0530,620,624.8,613.6
2019-03-29T00:00:00+0530,614,614,581.6
2019-04-01T00:00:00+0530,584.9,599.9,583.4
2019-04-02T00:00:00+0530,600,603.9,591.05
2019-04-03T00:00:00+0530,600,615,595
2019-04-04T00:00:00+0530,603.9,603.9,590
2019-04-05T00:00:00+0530,598,613.9,596.1
2019-04-08T00:00:00+0530,611,628,610.55
2019-04-09T00:00:00+0530,629.5,629.5,615
2019-04-10T00:00:00+0530,621,626.5,617
2019-04-11T00:00:00+0530,624.9,629.7,621.55
2019-04-12T00:00:00+0530,627.3,627.35,620.3
2019-04-15T00:00:00+0530,626.9,627.5,618.15
2019-04-16T00:00:00+0530,626,626,615.1
2019-04-18T00:00:00+0530,621,621.4,611.75
2019-04-22T00:00:00+0530,617.85,624.7,605.25
2019-04-23T00:00:00+0530,618,618.9,598
2019-04-24T00:00:00+0530,602,615,600.25
2019-04-25T00:00:00+0530,609.6,619.7,608.05
2019-04-26T00:00:00+0530,625,644.8,625
2019-04-30T00:00:00+0530,635.1,644.75,635.1
2019-05-02T00:00:00+0530,639.95,658,639.95
2019-05-03T00:00:00+0530,650,666,648.95
2019-05-06T00:00:00+0530,660,667.8,652.2
2019-05-07T00:00:00+0530,658,665.25,658
2019-05-08T00:00:00+0530,655.05,661.4,649.95
2019-05-09T00:00:00+0530,651.05,656.5,641
2019-05-10T00:00:00+0530,650.1,668,639.2
2019-05-13T00:00:00+0530,639.8,645.85,608.5
2019-05-14T00:00:00+0530,618.5,638.95,594.65
2019-05-15T00:00:00+0530,624,649.6,616.75
2019-05-16T00:00:00+0530,632.75,648.7,626
2019-05-17T00:00:00+0530,634.85,645.95,623.35
2019-05-20T00:00:00+0530,643.85,657.7,636
2019-05-21T00:00:00+0530,650,664,646.05
2019-05-22T00:00:00+0530,659.7,667.55,652.85
2019-05-23T00:00:00+0530,665,683.9,665
2019-05-24T00:00:00+0530,675.95,690,665.15
2019-05-27T00:00:00+0530,682,704,681.5
2019-05-28T00:00:00+0530,700,703.9,685.1
2019-05-29T00:00:00+0530,688.15,703,678.05
2019-05-30T00:00:00+0530,680,686.6,674
2019-05-31T00:00:00+0530,684.9,696,676.35
2019-06-03T00:00:00+0530,687,701,686.5
2019-06-04T00:00:00+0530,690.25,700,687.5
2019-06-06T00:00:00+0530,697,700.35,689.5
2019-06-07T00:00:00+0530,698.9,702,694.05
2019-06-10T00:00:00+0530,697,700,695.15
2019-06-11T00:00:00+0530,695.5,705,694.05
2019-06-12T00:00:00+0530,699.9,702,695.25
2019-06-13T00:00:00+0530,700,709,694
2019-06-14T00:00:00+0530,699.95,701,696
2019-06-17T00:00:00+0530,701.4,707,698.3
2019-06-18T00:00:00+0530,700.95,708,699.15
2019-06-19T00:00:00+0530,706,709,686.25
2019-06-20T00:00:00+0530,696.4,705,690.05
2019-06-21T00:00:00+0530,705,711,694.9
2019-06-24T00:00:00+0530,705.15,713.4,698.95
2019-06-25T00:00:00+0530,675,684.95,669.5
2019-06-26T00:00:00+0530,695.5,744,692.75
2019-06-27T00:00:00+0530,706,738,706
2019-06-28T00:00:00+0530,725,734.85,717
2019-07-01T00:00:00+0530,724.8,739,716.05
2019-07-02T00:00:00+0530,740,752.7,740
2019-07-03T00:00:00+0530,750,760.9,741.2
2019-07-04T00:00:00+0530,760,762.25,752.55
2019-07-05T00:00:00+0530,759.6,776.5,745.6
2019-07-08T00:00:00+0530,748.8,768.3,739.6
2019-07-09T00:00:00+0530,755,763,747.6
2019-07-10T00:00:00+0530,751.8,758.3,740
2019-07-11T00:00:00+0530,744,762,744
2019-07-12T00:00:00+0530,756,789.3,753.35
2019-07-15T00:00:00+0530,780.5,794.9,766
2019-07-16T00:00:00+0530,783,788.4,770.2
2019-07-17T00:00:00+0530,773,793.1,757
2019-07-18T00:00:00+0530,766,775,737
2019-07-19T00:00:00+0530,745.35,751,731.85
2019-07-22T00:00:00+0530,749.2,764,735.5
2019-07-23T00:00:00+0530,764,780,764
2019-07-24T00:00:00+0530,782.5,808.5,755.2
2019-07-25T00:00:00+0530,769.9,800,769.05
2019-07-26T00:00:00+0530,799.1,807,783
2019-07-29T00:00:00+0530,793,805.45,782.3
2019-07-30T00:00:00+0530,798,805,781.9
2019-07-31T00:00:00+0530,783,800,775
2019-08-01T00:00:00+0530,790.35,803.6,752.55
2019-08-02T00:00:00+0530,757.3,803,757.3
2019-08-05T00:00:00+0530,790,795,774.15
2019-08-06T00:00:00+0530,788.1,800.05,780.1
2019-08-07T00:00:00+0530,790.25,801.6,782.25
2019-08-08T00:00:00+0530,795,827,783.3
2019-08-09T00:00:00+0530,810.55,814.8,795.1
2019-08-13T00:00:00+0530,797.25,801.7,761.7
2019-08-14T00:00:00+0530,780,816.8,776
2019-08-16T00:00:00+0530,801.1,838.9,801.1
2019-08-19T00:00:00+0530,837.2,858.8,833.05
2019-08-20T00:00:00+0530,850,862.45,831.55
2019-08-21T00:00:00+0530,852.5,857,824.2
2019-08-22T00:00:00+0530,826.2,837.65,805.55
2019-08-23T00:00:00+0530,814.95,830.05,812.25
2019-08-26T00:00:00+0530,838,839.45,818.15
2019-08-27T00:00:00+0530,827,847,827
