Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,1896,1910,1885,1902.8,1094883
2019-01-02T00:00:00+0530,1905,1934.45,1900,1923.3,2100463
2019-01-03T00:00:00+0530,1919,1944.95,1893.1,1899.95,2611668
2019-01-04T00:00:00+0530,1900,1901.2,1841,1876.85,4280862
2019-01-07T00:00:00+0530,1891.8,1908.8,1881,1897.9,1856423
2019-01-08T00:00:00+0530,1905.4,1906.4,1883.3,1893.55,1691756
2019-01-09T00:00:00+0530,1907.4,1919,1866.7,1886.95,2414376
2019-01-10T00:00:00+0530,1890,1905,1872.1,1888.55,3053461
2019-01-11T00:00:00+0530,1870,1875,1835,1842.55,9209862
2019-01-14T00:00:00+0530,1850,1851,1810,1813.25,3615370
2019-01-15T00:00:00+0530,1810,1869.35,1808,1867.8,7711653
2019-01-16T00:00:00+0530,1870,1875,1847,1870.15,2359280
2019-01-17T00:00:00+0530,1878,1898,1871.3,1894.3,2625816
2019-01-18T00:00:00+0530,1881,1904.2,1876,1900.65,1683728
2019-01-21T00:00:00+0530,1902,1932,1895.45,1908.7,2409803
2019-01-22T00:00:00+0530,1907.1,1918.25,1890,1901.9,2457093
2019-01-23T00:00:00+0530,1901,1906.1,1870,1875.6,2578169
2019-01-24T00:00:00+0530,1884.8,1905.25,1875,1901.55,1962927
2019-01-25T00:00:00+0530,1902,1935,1901,1920.8,2327080
2019-01-28T00:00:00+0530,1933,1962,1925.5,1955,2769033
2019-01-29T00:00:00+0530,1962,1989.05,1936.65,1982.75,2557626
2019-01-30T00:00:00+0530,1979.6,1989.5,1954.65,1981.4,2429575
2019-01-31T00:00:00+0530,1987,2019.75,1985,2014.1,4094319
2019-02-01T00:00:00+0530,2009.5,2034.75,1998.1,2029.95,3064163
2019-02-04T00:00:00+0530,2029.95,2055.45,2023,2050.25,1590764
2019-02-05T00:00:00+0530,2050,2055,2028,2044.55,1111404
2019-02-06T00:00:00+0530,2049.9,2086.85,2041.05,2074.8,1789812
2019-02-07T00:00:00+0530,2074.75,2097.95,2067,2082.9,1339945
2019-02-08T00:00:00+0530,2075,2089.5,2051,2061.4,1684474
2019-02-11T00:00:00+0530,2060,2096,2048.9,2065.9,1778730
2019-02-12T00:00:00+0530,2070,2070,2018,2051.6,2422903
2019-02-13T00:00:00+0530,2062,2083,2050.5,2065.4,2808581
