Entry Date,Open price,High Price,Low Price,Avg. price,Volume
2019-01-01T00:00:00+0530,931.75,934.2,923,928,2064502
2019-01-02T00:00:00+0530,923.3,937,923.3,932.15,2672587
2019-01-03T00:00:00+0530,936,944.95,928,931.2,3292918
2019-01-04T00:00:00+0530,934,938.9,920.2,928.45,2340304
2019-01-07T00:00:00+0530,950,964,934.1,944.05,5337211
2019-01-08T00:00:00+0530,944.2,950,938.55,946.15,2039160
2019-01-09T00:00:00+0530,949,955.35,945.35,952.95,2115974
2019-01-10T00:00:00+0530,950.4,969.4,948.55,966.7,2450895
2019-01-11T00:00:00+0530,965.25,969.5,956.8,959.3,1535995
2019-01-14T00:00:00+0530,958,961.35,949,957.5,864306
2019-01-15T00:00:00+0530,956,970.7,955.1,968.3,1452136
2019-01-16T00:00:00+0530,965.3,970.4,959.3,961.2,1118736
2019-01-17T00:00:00+0530,961.35,965,951.55,961.55,1303576
2019-01-18T00:00:00+0530,961.55,965,954.05,960.95,1168989
2019-01-21T00:00:00+0530,960.1,965.8,957,962.75,1035360
2019-01-22T00:00:00+0530,962.15,986.4,958.7,982.65,2797244
2019-01-23T00:00:00+0530,987.4,987.4,957.6,962.15,1574247
2019-01-24T00:00:00+0530,960.2,972.3,955.9,969.65,1246903
2019-01-25T00:00:00+0530,972,984,969.15,978,1985833
2019-01-28T00:00:00+0530,978,981.2,955.2,958.65,1499181
2019-01-29T00:00:00+0530,955.2,970,945,966.1,1411027
2019-01-30T00:00:00+0530,966.1,974.95,960.05,968.9,1468812
2019-01-31T00:00:00+0530,968.2,1000,966.5,995.8,2306391
2019-02-01T00:00:00+0530,1003,1005,985.1,991.55,3424938
2019-02-04T00:00:00+0530,1025,1050,1009.05,1025.75,9556052
2019-02-05T00:00:00+0530,1026.95,1074,1020,1066.7,7144200
2019-02-06T00:00:00+0530,1066,1072,1050.5,1059.05,2449722
2019-02-07T00:00:00+0530,1059.8,1067.05,1050,1056.8,1293109
2019-02-08T00:00:00+0530,1058.5,1076.85,1047.6,1053.25,2576054
2019-02-11T00:00:00+0530,1059,1063.5,1045.2,1056.4,1057548
2019-02-12T00:00:00+0530,1058,1073.95,1050.1,1066.25,3075801
2019-02-13T00:00:00+0530,1068.3,1071.25,1047.8,1050.95,1185932
2019-02-14T00:00:00+0530,1063.95,1063.95,1030.5,1042.25,2182379
2019-02-15T00:00:00+0530,1035,1052,1016.8,1039,2566210
2019-02-18T00:00:00+0530,1040.1,1040.65,1021.3,1027.35,1023065
2019-02-19T00:00:00+0530,1030.45,1049.8,1025.3,1028.8,1551617
2019-02-20T00:00:00+0530,1030,1044.4,1027.5,1032.75,1506583
2019-02-21T00:00:00+0530,1039.9,1045,1031.25,1042.5,1220939
2019-02-22T00:00:00+0530,1035.5,1044,1030.3,1041.6,1298608
2019-02-25T00:00:00+0530,1038,1055,1035.6,1043,1691809
2019-02-26T00:00:00+0530,1039,1041.9,1016.05,1038.35,1906268
2019-02-27T00:00:00+0530,1042.9,1047.15,1013.95,1016.25,1897310
2019-02-28T00:00:00+0530,1018,1033.8,1002.05,1025.2,5080712
2019-03-01T00:00:00+0530,1031.9,1036,1017.1,1021.35,1967656
2019-03-05T00:00:00+0530,1023.6,1039.95,1016.2,1035,1577329
2019-03-06T00:00:00+0530,1038,1060.9,1028.3,1055.95,2758056
2019-03-07T00:00:00+0530,1069,1069,1039,1043.3,2584721
2019-03-08T00:00:00+0530,1044.75,1059.55,1037,1053.2,2179863
